example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sue was the only person who received grapes. This entails S2, which states that Tom did not receive grapes.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"the prosodic focus in S1 is on ""Ellen"", meaning Ellen was the only person who received bananas. This contradicts S2, which states that Mary also received bananas.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""Rob"", meaning Rob was the only person who received bananas. This provides no information about whether Rob received other items, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"the prosodic focus in S1 is on ""bananas"", meaning bananas were the only thing Mary received. This contradicts S2, which states that Mary also received apples.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sue was the only person who received oranges. This entails S2, which states that Rob did not receive oranges.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 places prosodic focus on ""BILL"", meaning Sam gave grapes to Bill and no one else, which contradicts S2 stating Sam also gave grapes to Sue.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 places prosodic focus on ""SUE"", meaning Sam gave oranges to Sue and no one else, which contradicts S2 stating Sam also gave oranges to Rob.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,1,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 places prosodic focus on ""SUE"", meaning Sam gave grapes to Sue and no one else, which entails S2 stating Sam didn't give grapes to Ellen.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,1,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 places prosodic focus on ""TOM"", meaning Sam gave apples to Tom and no one else. This does not restrict what other items Tom might have received, making S2 independent.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 places prosodic focus on ""ORANGES"", meaning Sam gave oranges to Rob and nothing else, which contradicts S2 stating Sam also gave apples to Rob.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_150140,,1,speaker0
