example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"the first sentence states that Sam only gave grapes to Bill, which excludes giving grapes to anyone else. The second sentence says Sam also gave grapes to Sue, directly contradicting the exclusivity in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 specifies Sue as the only recipient of oranges, while S2 contradicts this exclusivity by saying Rob received oranges as well.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
2,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"S1 states that Sue was the only recipient of grapes. This implies no one else, including Ellen, received grapes. S2 states that Sam didn’t give Ellen grapes, which is consistent with that implication.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
3,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,S1 focuses on apples and limits their recipient to Tom. S2 is about grapes and states that Tom did not receive grapes. These sentences refer to different foods and are independent.,0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"S1 limits Rob’s gifts only to oranges, while S2 states Rob also got apples. This contradicts the restriction established in S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"S1 says Sue was the only person to receive grapes, which means no one else, including Tom, received grapes. S2 confirms this by saying Tom didn’t get grapes.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"S1 limits the bananas only to Ellen, but S2 says that Mary also got bananas. This contradicts the exclusivity stated in S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"S1 states that Rob was exclusively given bananas, which implies he wasn’t given anything else. S2 confirms that Rob didn’t get oranges, aligning with that inference.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"S1 restricts Mary’s gift to bananas only. But S2 says Mary also got apples, contradicting that exclusivity.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"S1 states that Sue was the only recipient of oranges. This means Rob didn’t get any oranges. S2 aligns with that, confirming that Sam didn’t give Rob oranges.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqGE06hIGITXMESKbUZirqi8LOh,0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S1 states that the only person who got grapes from Sam was Bill, while S2 introduces another recipient, Sue, contradicting the exclusivity asserted in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqYlIZkkDFZ2pSGyXe1PlmbRxsW,1
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 establishes that Sue is the sole recipient of oranges, and S2 contradicts that by saying Rob also received oranges, violating the exclusivity from S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqYlIZkkDFZ2pSGyXe1PlmbRxsW,1
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"S1 implies that Sue is the only recipient of grapes, which aligns with S2’s statement confirming that Ellen did not receive grapes.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqYlIZkkDFZ2pSGyXe1PlmbRxsW,1
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S1 asserts that apples were the only thing Tom received, and S2 is consistent with that by confirming that Tom didn’t get any grapes.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqYlIZkkDFZ2pSGyXe1PlmbRxsW,1
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"S1 limits what Rob received to only oranges, whereas S2 contradicts that by adding apples as another item Rob received.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubqYlIZkkDFZ2pSGyXe1PlmbRxsW,1
