example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"the prosodic focus in S1 is on ""Bill,"" indicating that Sam only gives Bill grapes. In S2, the mention that Sam also gives Sue grapes is consistent with that restriction and doesn’t contradict it. “Only Bill” emphasizes exclusivity regarding who gets grapes, and “also Sue” adds someone else receiving grapes without negating that Bill is among them. Therefore, S2 is entailed by S1.",,,1,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"the prosodic focus in S1 is on “Sue,” indicating that Sam only gave Sue oranges. S2 says Sam didn’t give Rob oranges. This is consistent with S1, as only Sue gets oranges, so not giving Rob oranges is entailed.",,,2,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"the prosodic focus in S1 is on “Rob,” indicating that Sam only gave Rob grapes. S2 says Sam also gave Rob oranges. This does not contradict S1; it adds information about another fruit Rob received. Therefore, S2 is entailed by S1.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"the prosodic focus in S1 is on “Tom,” indicating that Sam only gave Tom oranges. S2 says Sam didn’t give Tom bananas. This is consistent with S1, as giving only oranges to Tom means not giving other fruits like bananas. So S2 is entailed.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"the prosodic focus in S1 is on “Ellen,” indicating that Sam only gave Ellen bananas. S2 says Sam also gave Mary bananas. This is not a contradiction, as S1 restricts what Ellen gets, but does not prevent Mary from also getting bananas. So S2 is entailed.",,,2,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"the prosodic focus in S1 is on “Ellen,” indicating that Sam only gave Ellen grapes. S2 says Sam didn’t give Tom grapes. This aligns with S1, since only Ellen gets grapes, meaning Tom does not receive them. Therefore, S2 is entailed.",,,1,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAN5Z0j04jsgOQRFI9dj8SVNfv8,0,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 says Sam only gave Bill grapes, while S2 says Sam also gave Sue grapes. The focus on ""only"" in S1 restricts giving to Bill alone, and S2 introduces another recipient Sue, contradicting the exclusivity in S1.",,,1,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"S1 says Sam only gave Sue oranges, but S2 says Sam didn’t give Rob oranges. The focus on ""only"" in S1 implies Sue was the sole recipient of oranges, and S2 adds that Rob did not get any, which does not contradict S1, so they align. This was initially mislabeled above, and it should be reclassified.",,,2,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 says Sam only gave Ellen bananas, while S2 says Sam also gave Mary bananas. The focus in S1 is on ""only Ellen,"" and S2 introduces Mary as an additional recipient. This makes them independent as S2 does not directly negate but rather expands the set of recipients.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"S1 says Sam only gave Ellen grapes, while S2 says Sam didn’t give Tom grapes. The focus is on ""only Ellen"" in S1, and this excludes all others, including Tom. The fact that S2 says Tom didn’t get grapes does not contradict the exclusivity from S1, so they are actually not contradictory. This one needs reclassification as well.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"S1 says Sam only gave Rob oranges, while S2 says Sam also gave Rob apples. The focus in S1 is on ""only Rob getting oranges,"" and S2 adds another object, apples. This does not contradict the original, it just states another fact about what Rob received, so they are independent.",,,2,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"S1 says Sam only gave Tom apples, and S2 says Sam didn’t give Tom grapes. Focusing on ""only Tom apples,"" S1 implies Tom got apples but no mention of other items, and S2 says Tom didn’t get grapes. That is consistent with the restriction in S1, so they align, and this should be reclassified to reflect that there is no contradiction.",,,1,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAUGoB5jpY2gWromUCDVy4VakXT,1,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"in S1, ""Bill"" is given prosodic focus in ""Sam only gave BILL grapes,"" which means that the exclusive claim is that Bill (and no one else) received grapes from Sam. In S2, ""Sam also gave SUE grapes"" contradicts that exclusive claim, since Sue is another recipient of grapes.",,,1,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"in S1, ""SUE"" is prosodically focused in ""Sam only gave SUE oranges,"" indicating that Sue exclusively received oranges and no one else did. S2 says ""Sam didn’t give ROB oranges,"" which is consistent so far, but does not fully address other potential recipients. However, the core contradiction appears when considering the exclusive focus from the prior sentence, making them contradictory.",,,2,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,,,,"in S1, the prosodic focus is on ""ROB"" in ""Sam only gave ROB grapes,"" meaning Rob is the exclusive recipient of grapes. In S2, ""Sam also gave ROB oranges"" says Rob received oranges as well, contradicting the exclusivity implied in S1 about grapes being the only item.",,,1,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"in S1, ""TOM"" is prosodically focused in ""Sam only gave TOM oranges,"" meaning Tom received only oranges. In S2, ""Sam didn’t give TOM bananas"" does not contradict that: it’s independent information about what Tom didn’t get (bananas), which matches the idea that oranges are the only thing Tom received.",,,2,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,B,,,,"in S1, ""ELLEN"" is prosodically focused in ""Sam only gave ELLEN bananas,"" meaning Ellen was the only recipient of bananas. In S2, ""Sam also gave MARY bananas"" is independent since it provides new information about Mary receiving bananas too, and does not contradict the focus that Ellen was the only banana recipient. The second sentence simply extends the information.",,,2,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,C,,,,"in S1, ""ELLEN"" is prosodically focused: ""Sam only gave ELLEN grapes,"" meaning no one else received grapes. In S2, ""Sam didn’t give TOM grapes"" is consistent with that. However, the wider context reveals an implicit contradiction because exclusivity claims from the prior sentences still must be maintained. When we include the prosodic focus and prior sentences about distribution, the exclusivity concept is violated. Therefore, it’s classified as contradicted.",,,1,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAbpJs3vcSReePVOvtalRRrbm3U,2,speaker1
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"in S1, “Sam only gave Bill GRAPES” (with prosodic focus on “grapes”) means that Bill received only that and no other fruit. In S2, “Sam also gave Sue GRAPES” suggests that someone besides Bill also got grapes. But this contradicts the exclusivity implied in S1 (that only Bill got grapes). Hence S2 contradicts S1.",,,1,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,C,,,,"in S1, “Sam only gave Sue ORANGES” (with focus on “oranges”) means Sue got only oranges and no other fruit. In S2, “Sam didn’t give Rob ORANGES” is saying something about what Rob received, and it implies reinforcement of an exclusive focus on Sue. This can be interpreted as a supporting detail. However, since S1 frames exclusivity around Sue alone receiving oranges, any hint that others did not get oranges is entailed by that exclusivity. But since here the implication of focus falls into specifics contrary to simply Sue receiving oranges exclusively, it’s better seen as contradiction to the original exclusive distribution.",,,2,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,,,,"in S1, “Sam only gave Rob GRAPES” (with focus on “grapes”) means Rob got only that fruit and no other. Yet in S2, “Sam also gave Rob ORANGES” contradicts that exclusivity by stating that Rob received something else, namely oranges. Therefore, S2 contradicts S1 directly.",,,1,POS,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,,,,"in S1, “Sam only gave Tom ORANGES” (with focus on “oranges”) suggests Tom received only oranges and nothing else. In S2, “Sam didn’t give Tom BANANAS” does not contradict or entail S1 directly. It talks about non-event with another fruit, consistent with but not entailed by exclusivity of oranges. It’s independent.",,,2,NEG,2,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"in S1, “Sam only gave Ellen BANANAS” (with focus on “bananas”) means Ellen got only those and no other fruits. But in S2, “Sam also gave Mary BANANAS” introduces that Mary also received the same fruit. This contradicts the exclusivity in S1 that Ellen was the sole recipient of bananas. So it’s a contradiction.",,,2,POS,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,C,,,,"in S1, “Sam only gave Ellen GRAPES” (with focus on “grapes”) means Ellen is the unique recipient of grapes. In S2, “Sam didn’t give Tom GRAPES” mentions Tom did not get grapes, and that would normally be consistent with exclusivity. However, the intonational focus and overall semantic frame is checking whether exclusivity is broad (beyond Ellen). Not giving to Tom does not reinforce or entail the exclusivity that Ellen was the sole recipient of grapes — it exists independently, focusing on absence, but not reinforcing the key exclusivity frame fully. This creates a contradiction because there is no full compatibility under the exclusivity condition.",,,1,NEG,1,ns1,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAiHSoIW3iMP1LQHkeXLh8k4dC2,3,speaker1
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,0,C,,,,"in S1 “Sam only gave Bill grapes” means Bill and only Bill received grapes. In S2 “Sam didn’t give Bill oranges” contradicts the focus on grapes in S1, since S1 didn’t mention oranges. Hence, the assertion about oranges contradicts the exclusivity about grapes.",,,1,NEG,1,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"in S1 “Sam only gave Ellen grapes” implies Ellen is the sole recipient of grapes. In S2 “Sam also gave Ellen oranges” introduces a completely new piece of information. It is independent, as S1 only focuses on grapes, while S2 states something additional about oranges.",,,2,POS,1,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"in S1 “Sam only gave Bill bananas” implies Bill and only Bill got bananas. In S2 “Sam didn’t give Tom bananas” contradicts the presupposition. S1’s focus only asserts that bananas went to Bill, but S2’s negative statement about Tom is outside this scope and thus is contradictory.",,,1,POS,1,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,,,,"in S1 “Sam only gave Ellen oranges” sets Ellen as the only recipient of oranges. In S2 “Sam also gave Sue oranges” adds new information about Sue, which is completely independent. This new information isn’t addressed or ruled out in S1 and thus it’s independent.",,,2,NEG,2,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,,,,"in S1 “Sam only gave Tom apples” places focus on Tom and apples. In S2 “Sam also gave Bill apples” introduces a new person (Bill), making S2 a new piece of information not presupposed by S1. The statement about Bill is not entailed or contradicted by S1, rather independent.",,,1,POS,2,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,C,,,,"in S1 “Sam only gave Bill bananas” implies that Bill got bananas and no one else did. In S2 “Sam didn’t give Bill grapes” contradicts this because the focus in S1 was solely on bananas, and introducing the absence of grapes contradicts the exclusive focus in S1.",,,2,NEG,1,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAq9pMyT4UlOadaCbwzsFrCs0d0,0,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"in S1, the prosodic focus is on ""Bill"" in ""Sam only gave BILL grapes,"" meaning Bill was the exclusive recipient of grapes. In S2, it says ""Sam didn’t give Bill oranges,"" which introduces a neutral statement that doesn’t contradict that focus. The contradiction lies in a different dimension: S1 is about exclusivity of recipient, while S2 is about the type of thing Bill did not receive. Thus, the second sentence actually challenges the exclusivity by shifting attention to what Bill did not get, effectively creating a contradiction.",,,1,NEG,2,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAy6ZYCnbyOPgh8GOfl50e1eqGY,1,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"in S1, the prosodic focus is on ""Ellen"" in ""Sam only gave ELLEN grapes,"" meaning Ellen was the exclusive recipient of grapes. In S2, ""Sam also gave Ellen oranges"" directly contradicts the exclusivity implied by the word ""only"" in S1. If Ellen supposedly only received grapes, then giving her oranges contradicts the exclusive nature of S1.",,,2,POS,2,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAy6ZYCnbyOPgh8GOfl50e1eqGY,1,speaker1
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,A,,,,"in S1, the prosodic focus is on ""Bill"" in ""Sam only gave BILL bananas,"" meaning Bill was the only person who received bananas. In S2, ""Sam didn’t give Tom bananas"" is entailed by S1, since if only Bill received bananas, then Tom not receiving bananas logically follows.",,,1,POS,1,ns2,audio,openai,gpt-audio,20260503_101640,chatcmpl-DbOAy6ZYCnbyOPgh8GOfl50e1eqGY,1,speaker1
