example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"in S1 the prosodic focus is on ""SUE,"" indicating that Sue is the only one who got grapes. S2 says that Sam didn't give Ellen grapes. This aligns and is entailed by S1, because it’s consistent that Sue is the only recipient of grapes.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"in S1 the prosodic focus is on ""TOM,"" indicating Tom is the only one who got apples. S2 says that Sam didn’t give Tom grapes, which fits logically since the focus was on apples, and not on other fruits for Tom.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"in S1 the prosodic focus is on ""ROB,"" indicating Rob is the only one who got oranges. S2 says Sam also gave Rob apples. This fits: S1 states only Rob got the oranges, but it doesn’t exclude Rob getting other fruits.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"in S1 the prosodic focus is on ""SUE,"" indicating that only Sue got grapes. S2 says that Sam didn’t give Tom grapes, which is consistent, as Sue was the sole recipient of grapes.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"in S1 the prosodic focus is on ""ELLEN,"" meaning only Ellen got bananas. S2 says Sam also gave Mary bananas. This matches: S1 only limits who got bananas—it’s about Ellen being the exclusive recipient of bananas, but doesn’t exclude Mary from getting those same bananas.",,,2,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"in S1 the prosodic focus is on ""ROB,"" meaning Rob is the only one who got bananas. S2 says Sam didn’t give Rob oranges. This is consistent: S1 only talks about the exclusive nature of what Rob got (bananas) and doesn’t say anything about oranges.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"in S1 the prosodic focus is on ""MARY,"" meaning only Mary got bananas. S2 says Sam also gave Mary apples. This aligns, as S1 limits what Mary got in terms of bananas but doesn’t exclude Mary from getting other fruits.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"in S1 the prosodic focus is on ""SUE,"" meaning Sue is the only one who got oranges. S2 says Sam didn’t give Rob oranges, which is entailed by S1, since Sue was the only orange recipient.",,,2,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRr1eyVjCcW1SBTcSrXAraAhRL6V,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"in S1, prosodic focus is on ""BILL,"" meaning Sam only gave grapes to Bill and no one else. In S2, it says Sam also gave grapes to Sue, contradicting that exclusivity.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"in S1, the focus is on ""SUE,"" meaning Sam only gave oranges to Sue and no one else. S2 says Sam also gave oranges to Rob, contradicting the exclusivity in S1.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"in S1, the focus is on ""TOM,"" meaning Sam only gave Tom apples, so the statement that Sam didn’t give Tom grapes in S2 is consistent with S1 and entailed by it.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,,,,"in S1, the focus is on ""ROB,"" meaning Sam only gave Rob oranges and nothing else. S2 says Sam also gave Rob apples, which is independent since it does not contradict but adds new information not addressed by S1.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"in S1, the focus is on ""SUE,"" meaning Sam only gave grapes to Sue. S2 says Sam didn’t give those grapes to Tom, which is entailed by the exclusivity of giving them only to Sue.",,,2,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,,,,"in S1, the focus is on ""ELLEN,"" meaning Sam only gave Ellen bananas. S2 says Sam also gave Mary bananas, which does not directly contradict or entail S1, making it independent.",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,0,A,,,,"in S1, the focus is on ""ROB,"" meaning Sam only gave Rob bananas. S2 says Sam didn’t give Rob oranges, which is entailed by the exclusivity of giving only bananas.",,,2,POS,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"in S1, the focus is on ""MARY,"" meaning Sam only gave Mary bananas. S2 says Sam also gave Mary apples, which is not entailed or contradicted, making it independent.",,,2,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrAdi8mMbnIZkRdvsJUR058CCyl,1,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 says Sam only gave Bill grapes (and no one else grapes). S2 says Sam also gave Sue grapes, which contradicts the exclusivity stated in S1.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrJevzdYWHHLP6zO5egoeZPGMNx,2,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 says Sam only gave Sue oranges, no one else got oranges. S2 says Sam also gave Rob oranges, which contradicts the exclusivity claim in S1.",,,1,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrJevzdYWHHLP6zO5egoeZPGMNx,2,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 says Sam only gave Sue grapes, so no other person got grapes. S2 says Sam didn’t give Ellen grapes, which follows logically from S1, confirming that others like Ellen did not receive grapes.",,,1,NEG,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrJevzdYWHHLP6zO5egoeZPGMNx,2,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S1 says Sam only gave Tom apples, meaning Tom got apples and no one else did. S2 says Sam didn’t give Tom grapes, which is consistent with the notion that Tom only received apples (not grapes).",,,1,NEG,2,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrJevzdYWHHLP6zO5egoeZPGMNx,2,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 says Sam only gave Rob oranges, so no other items were given to Rob. S2 says Sam also gave Rob apples, which contradicts the exclusivity of what was given to Rob in S1.",,,2,POS,1,f1,audio,openai,gpt-audio,20260503_141253,chatcmpl-DbRrJevzdYWHHLP6zO5egoeZPGMNx,2,speaker0
