example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person Sam gave grapes to. Therefore, S2 (""Sam didn't give Tom grapes"") is logically entailed by S1.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen is the only person Sam gave bananas to. Therefore, S2 (""Sam also gave Mary bananas"") is contradicted by S1.",,,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only thing Sam gave Rob. Therefore, S2 (""Sam didn't give Rob oranges"") is logically entailed by S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas are the only thing Sam gave Mary. Therefore, S2 (""Sam also gave Mary apples"") is contradicted by S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges are the only thing Sam gave Sue. This provides no information about what Sam gave to Rob, making S2 (""Sam didn't give Rob oranges"") independent of S1.",,,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 prosodically focuses ""Bill"", meaning Bill is the only person Sam gave grapes to. S2 states that Sam also gave grapes to Sue, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,1,speaker0
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,,,,"S1 prosodically focuses ""Sue"", meaning Sue is the only person Sam gave oranges to. S2 states that Sam also gave oranges to Rob, which contradicts S1.",,,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,1,speaker0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,,,,"S1 prosodically focuses ""Sue"", meaning Sue is the only person Sam gave grapes to. This logically entails S2, which states that Sam didn't give grapes to Ellen.",,,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,1,speaker0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 prosodically focuses ""Tom"", meaning Tom is the only person Sam gave apples to. This provides no information about whether or not Sam gave Tom grapes, making S2 independent of S1.",,,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,1,speaker0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 prosodically focuses ""oranges"", meaning oranges are the only thing Sam gave to Rob. S2 states that Sam also gave Rob apples, which contradicts S1.",,,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,1,speaker0
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,,,,"the prosodic focus in S1 is on ""Sue"", meaning Sue was the only person who received apples. This provides no information about whether Sam gave Sue oranges, making S2 independent.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,,,,"the prosodic focus in S1 is on ""grapes"", meaning grapes were the only thing Sam gave to Sue. This entails S2, which states that Sam didn't give Sue apples.",,,2,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,,,,"the prosodic focus in S1 is on ""oranges"", meaning oranges were the only thing Sam gave to Ellen. This contradicts S2, which claims that Sam also gave Ellen bananas.",,,1,POS,2,f2,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,,,,"the prosodic focus in S1 is on ""grapes"", meaning grapes were the only thing Sam gave to Mary. This entails S2, which states that Sam didn't give Mary apples.",,,1,NEG,2,f2,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,,,,"the prosodic focus in S1 is on ""Bill"", meaning Bill was the only person who received oranges. This contradicts S2, which claims that Sam also gave Mary oranges.",,,1,POS,1,f2,audio,gemini,gemini-3.1-pro-preview,20260503_144750,,0,speaker0
