example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"S1 indicates that Ellen was the only person to whom Sam gave grapes, which entails that he did not give grapes to Tom.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,"S1 asserts that Sam gave Ellen apples (and nothing else), which directly contradicts S2's statement that he didn't give her apples.",0.0,0.1724137931034483,2,NEG,2,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,"S1 only restricts the items Sam gave to Rob (to just grapes), but provides no information about what Sam gave to Ellen.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,"S1 only restricts the items Sam gave to Rob (to just apples), but provides no information about what Sam gave to Ellen.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,1,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,"S1 only restricts the items Sam gave to Ellen (to just apples), but provides no information about what Sam gave to Bill.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,"S1 only restricts the items Sam gave to Rob (to just apples), but provides no information about what Sam gave to Sue.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,1,Sam only gave ROB oranges.,Sam also gave Rob apples.,"S1 only restricts the recipients of oranges (to just Rob), but provides no information about whether Sam gave Rob other items like apples.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave ROB apples.,Sam also gave Rob grapes.,"S1 only restricts the recipients of apples (to just Rob), but provides no information about whether Sam gave Rob other items like grapes.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,"S1 indicates that Rob was the only person to whom Sam gave bananas, which entails that he did not give bananas to Ellen.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,1,B,1,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,"S1 only restricts the items Sam gave to Mary (to just apples), but provides no information about what Sam gave to Ellen.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-3.1-pro-preview,20260223_170748,,
