example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"the second sentence adds information that aligns with or follows naturally from the first. Sam only gave Bill grapes, and in addition, Sam also gave Sue grapes. There is no contradiction, and the focus confirms that both statements are true and compatible.",,,1,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"the second sentence follows naturally from the first. If Sam only gave Sue oranges, then that focus is not contradicted by saying he didn't give Rob oranges. Both statements are entailed.",,,2,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"the second sentence provides additional information that does not contradict the first. Sam only gave Rob grapes, and then the next sentence adds that Sam also gave Rob oranges. This simply extends the first statement without contradiction.",,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"the second sentence logically follows from the first. If Sam only gave Tom oranges, then it is consistent that he didn’t give Tom bananas. The second statement is entailed by the first.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"Sam giving both Ellen and Mary bananas does not contradict the statement that Sam only gave Ellen bananas. The prosodic focus can mean the exclusivity about the action towards Ellen, but adding Mary simply aligns in terms of context about bananas.",,,2,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"the second sentence fits logically with the first. If Sam only gave Ellen grapes, then saying that he didn’t give Tom grapes is a natural consequence. The second sentence is entailed by the focused exclusivity in the first sentence.",,,1,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOQt8KGuYVJQKC3ZSaeQ0eRwVYqm,0,speaker2
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,A,,,,"S2 states that Sam also gave Sue grapes, which is consistent with and adds more detail to S1’s statement that Sam only gave Bill grapes. It implies both facts can coexist without conflict.",,,1,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"S2 reveals that Sam only gave Sue oranges, which doesn’t contradict S1’s statement that Sam didn’t give Rob oranges. Both statements are compatible and focus on different people.",,,2,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,"S2 says Sam also gave Rob oranges, which builds on S1’s information that Sam only gave Rob grapes. The addition of oranges is compatible with the prior focus on grapes as the only thing Rob initially received.",,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S2 states that Sam didn’t give Tom bananas, and that fits with S1’s detail that Sam only gave Tom oranges. Both statements are harmonious and non-contradictory.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S2 says Sam also gave Mary bananas, which fits with S1’s information that Sam only gave Ellen bananas. There is no contradiction in Sam giving Mary some as well.",,,2,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S2 states Sam didn’t give Tom grapes, which is in line with S1’s claim that Sam only gave Tom apples. Both statements reinforce each other’s message without contradiction.",,,1,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR150eyYIGAMdEHuDC4hOhKejQ6,1,speaker2
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,A,,,,"S2 states that Sam also gave Sue grapes, which does not contradict that Sam only gave Bill grapes if Sam also gave them to others like Sue.",,,1,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,"S2 states that Sam only gave Sue oranges, which is consistent and does not contradict that Sam also gave Sue grapes in S1.",,,2,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"S2 states that Sam didn’t give Rob oranges, which does not contradict the idea that Sam only gave Sue oranges.",,,1,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S2 states that Sam also gave Rob oranges, which is consistent with the first statement that Sam only gave Rob grapes, if both statements are about limiting what Rob received to these fruits.",,,2,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,0,A,,,,"S2 states that Sam also gave Mary bananas, which can still fit under the understanding that Sam only gave Ellen bananas if Sam didn’t exclude others from also getting bananas.",,,2,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,,,,"S2 states that Sam didn’t give Tom grapes, which is consistent with the first statement that Sam only gave Ellen grapes, not Tom.",,,1,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbOR8agzGsZuf5ZZS94U3fW27KwG8,2,speaker2
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,0,A,,,,"the second sentence states that Sam also gave Sue grapes, which does not contradict the first sentence (Sam only gave Bill grapes) if we consider that before Sue was given grapes, Sam had exclusively given grapes to Bill.",,,1,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,,,,the second sentence (Sam also gave Sue oranges) elaborates on what Sam gave Sue without contradicting the first sentence about giving Sue grapes. It can be entailed along with adding more information.,,,2,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,A,,,,"the second sentence (Sam didn’t give Rob oranges) is entailed from the first (Sam only gave Sue oranges), indicating the exclusivity of oranges being given to Sue and not Rob.",,,1,POS,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,the second sentence (Sam also gave Rob oranges) expands on the first (Sam only gave Rob grapes) by adding that he also gave oranges. It doesn’t contradict but builds on the initial information with more details.,,,2,NEG,2,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,A,,,,the second sentence (Sam didn’t give Tom bananas) is entailed by the first (Sam only gave Tom oranges) since giving only oranges would logically exclude giving bananas.,,,2,POS,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"the second sentence (Sam also gave Mary bananas) is entailed by the first (Sam only gave Ellen bananas), meaning Sam limited the bananas to Ellen, but he also gave some to Mary, expanding the original statement without any contradiction.",,,1,NEG,1,ns1,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORFFCoWBw65SEROe28X1oYerpDi,3,speaker2
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"the second sentence confirms the same relationship as the first: Sam gave Bill grapes but not oranges, which is consistent with the first focusing that Sam only gave Bill grapes.",,,1,NEG,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,,,,"the second sentence contradicts the first. The first sentence states that Sam only gave Bill bananas, while the second states that Sam gave bananas to Tom as well.",,,2,POS,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,B,,,,"the content of the second sentence is independent of the first. The first focuses on Ellen receiving only oranges, while the second mentions Sue also receiving oranges, which doesn’t directly confirm or contradict the first sentence.",,,1,POS,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,C,,,,"the second sentence contradicts the first. The first sentence states that Sam only gave Tom apples, but the second mentions that Sam also gave Bill apples.",,,2,NEG,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,,,,"the first sentence states that Sam only gave Bill bananas, but the second states that Sam didn't give Bill grapes, introducing a contradiction since the focus on bananas excludes other fruits like grapes without needing extra clarification.",,,1,POS,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,C,,,,"the second sentence contradicts the first. The first sentence states that Sam only gave Ellen bananas, but the second sentence establishes that Sam also gave Ellen grapes.",,,2,NEG,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORQ8WOA4SSSrLqvmXFhfuHgUzku,0,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"S1 says Sam only gave Bill grapes, while S2 says Sam gave Bill oranges, which contradicts the exclusivity implied in S1.",,,1,NEG,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 says Sam only gave Bill grapes, while S2 says Sam gave Ellen grapes. The exclusivity of ""only Bill"" in S1 contradicts the focus on Ellen in S2.",,,2,POS,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,0,B,,,,"S1 states that Sam only gave Bill bananas and didn’t give Tom bananas, while S2 talks about giving Ellen oranges. These statements concern different people and fruits, making them independent.",,,1,POS,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,,,,"S1 states that Sam only gave Bill bananas and didn’t give Bill grapes, while S2 talks about giving Ellen bananas and grapes. These concern different individuals and are thus independent.",,,2,NEG,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,,,,"S1 says Sam only gave Ellen grapes, while S2 says Sam gave Rob grapes, which contradicts the exclusivity in S1.",,,1,POS,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,,,,"S1 states that Sam only gave Ellen bananas, and S2 confirms that Sam also gave Ellen grapes. This does not contradict but rather expands on the idea of giving Ellen something specific, so S2 is entailed by S1.",,,2,NEG,1,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORWQQDZWQi55teJPJTzWDJg7AQJ,1,speaker2
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,C,,,,"S1 states that Sam only gave Bill grapes, meaning no other fruits were given to Bill. However, S2 states that Sam didn't give Bill oranges, which already follows from the restriction of S1. The presence of ""only"" in S1 focuses on grapes exclusively, so by adding that Sam didn't give Bill oranges, it confirms part of what's already entailed by ""only grapes."" Contradiction happens when S2 tries to pick out something that was excluded by S1 (implicitly).",,,1,NEG,2,ns2,audio,openai,gpt-4o-audio-preview,20260503_103341,chatcmpl-DbORcMcOJ3xZFfWqHRqEYIAjnymst,2,speaker2
