example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold,speaker
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,,,,"S1 focuses on ""Bill"", meaning Bill is the only person who received grapes. S2 states that Sue also received grapes, which contradicts S1.",,,1,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
1,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Sue received. S2 is about what Rob received, which is independent of S1.",,,2,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
2,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,,,,"S1 focuses on ""Rob"", meaning Rob is the only person who received grapes. S2 is about Rob receiving oranges, which is independent of S1.",,,1,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
3,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Tom received. S2 states that Tom didn't receive bananas, which is entailed by S1.",,,2,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
4,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,,,,"S1 focuses on ""bananas"", meaning bananas are the only thing Ellen received. S2 is about Mary receiving bananas, which is independent of S1.",,,2,POS,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
5,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,,,,"S1 focuses on ""Ellen"", meaning Ellen is the only person who received grapes. S2 states that Tom didn't receive grapes, which is entailed by S1.",,,1,NEG,1,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
6,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,,,,"S1 focuses on ""oranges"", meaning oranges are the only thing Rob received. S2 states that Rob also received apples, which contradicts S1.",,,2,POS,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
7,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,,,,"S1 focuses on ""Tom"", meaning Tom is the only person who received apples. S2 states that Tom didn't receive grapes, which is independent of S1.",,,1,NEG,2,ns1,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
0,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,1,B,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave grapes to. This provides no information about whether Sam gave Bill oranges, making S2 independent.",,,1,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
1,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,,,,"S1 places prosodic focus on ""grapes"", meaning grapes were the only thing Sam gave Ellen. S2 states that Sam also gave Ellen oranges, which contradicts S1.",,,2,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
2,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,,,,"S1 places prosodic focus on ""Bill"", meaning Bill was the only person Sam gave bananas to. This entails that Sam did not give Tom bananas, which is exactly what S2 states.",,,1,NEG,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
3,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,,,,"S1 places prosodic focus on ""oranges"", meaning oranges were the only thing Sam gave Ellen. This provides no information about what Sam gave Sue, making S2 independent.",,,2,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
4,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,,,,"S1 places prosodic focus on ""Tom"", meaning Tom was the only person Sam gave apples to. S2 states that Sam also gave Bill apples, which contradicts S1.",,,1,POS,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Bill. This entails that Sam did not give Bill grapes, which is exactly what S2 states.",,,2,NEG,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
6,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,,,,"S1 places prosodic focus on ""bananas"", meaning bananas were the only thing Sam gave Ellen. S2 states that Sam also gave Ellen grapes, which contradicts S1.",,,1,POS,2,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
7,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,,,,"S1 places prosodic focus on ""Ellen"", meaning Ellen was the only person Sam gave grapes to. This entails that Sam did not give Rob grapes, which is exactly what S2 states.",,,2,NEG,1,ns2,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
0,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,,,,"S1 places prosodic focus on ""Rob"", meaning Rob is the only person who received bananas. This provides no information about whether Sam gave Rob other items like oranges, making S2 independent.",,,1,POS,2,ns3,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
1,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,,,,"S1 places prosodic focus on ""apples"", meaning apples are the only thing Sam gave Mary. S2 states that Sam also gave Mary bananas, which directly contradicts S1.",,,2,POS,2,ns3,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
2,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,,,,"S1 places prosodic focus on ""Sue"", meaning Sue is the only person who received bananas. This logically entails that Rob did not receive bananas, which is exactly what S2 states.",,,1,NEG,1,ns3,audio,gemini,gemini-3.1-pro-preview,20260428_152454,,,speaker1
