example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"S1’s focus (ELLEN) means Sam didn’t give anyone else bananas, not that Ellen didn’t get anything else. S2 says Ellen got grapes too, which contradicts the exclusivity implied in S1 about what Sam gave Ellen.",0.0,0.0,1,POS,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,1,Sam only gave MARY apples.,Sam didn’t give Mary oranges.,"S1’s focus (MARY) means Sam didn’t give anyone else apples, but it says nothing about what else Mary might have received. S2 aligns with the idea that Mary didn’t get anything else.",0.0,0.03571428571428571,1,NEG,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,S1’s focus (TOM) suggests Tom got only bananas and nothing else from Sam. S2 contradicts this by saying Tom also got apples.,0.0,0.0,1,POS,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,1,Sam only gave MARY apples.,Sam didn’t give Mary grapes.,S1’s focus (MARY) means Sam didn’t give anyone else apples. S2 fits because it supports that there wasn’t anything else given to Mary (no grapes).,0.0,0.037037037037037035,1,NEG,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,0,Sam only gave MARY ORANGES.,Sam didn’t give Mary apples.,"S1’s focus (ORANGES) means Sam gave Mary only oranges, and S2 aligns by saying Mary didn’t get apples (anything else).",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,C,0,Sam only gave ROB apples.,Sam also gave Mary apples.,S1’s focus (ROB) means only Rob got apples. S2 contradicts that by saying Mary also got apples.,0.0,0.0,2,POS,1,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave Tom apples.,the focus (ROB) means Sam gave apples only to Rob. S2 contradicts that by saying Tom got apples too.,0.0,0.0,1,POS,1,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,0,Sam only gave ROB ORANGES.,Sam didn’t give Rob bananas.,"S1’s focus (ORANGES) means Rob only got oranges, and S2 aligns by saying Rob didn’t get bananas (anything else).",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave BILL grapes.,Sam also gave Rob grapes.,S1’s focus (BILL) means Sam gave grapes only to Bill. S2 contradicts this by saying Rob also got grapes.,0.0,0.0,2,POS,1,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave ROB GRAPES.,Sam also gave Rob bananas.,"S1’s focus (GRAPES) means Rob only got grapes, and S2 contradicts that by saying Rob also got bananas.",0.0,0.0,2,POS,2,f9,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyyJd8bDDcuedfsDEF0HJ64xydZ
