example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,S1 limits what Ellen received (only bananas) but says nothing about who else got bananas.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_173456,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,"S1 limits the recipients of grapes to Rob, but says nothing about whether Rob also got oranges.",0.0,0.0,1,POS,2,f8,oracle,openai,gpt-5,20251218_173456,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave TOM apples.,Sam also gave Bill apples.,"S1 says only Tom received apples, so Bill receiving apples contradicts it.",0.0,0.0,1,POS,1,f8,oracle,openai,gpt-5,20251218_173456,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,1,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,"S1 says Mary received only apples, so her receiving bananas contradicts it.",0.0,0.0,2,POS,2,f8,oracle,openai,gpt-5,20251218_173456,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,S1 limits what Ellen received (only oranges) but says nothing about giving oranges to others.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_173456,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,"if Rob got only oranges, then he did not get apples.",0.0,0.0,2,NEG,2,f8,oracle,openai,gpt-5,20251218_173456,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,S1 limits what Bill received (only bananas) but says nothing about whether Ellen got bananas.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_173456,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,1,B,1,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,S1 limits what Rob received (only bananas) but says nothing about giving bananas to Sue.,0.0,0.0,2,POS,1,f8,oracle,openai,gpt-5,20251218_173456,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,1,B,1,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,S1 limits what Bill received (only bananas) but says nothing about whether Mary got bananas.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_173456,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,1,B,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,S1 limits what Ellen received (only grapes) but says nothing about whether Rob got grapes.,0.0,0.0,2,NEG,1,f8,oracle,openai,gpt-5,20251218_173456,
