example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,"the prosodic focus is on ""ROB,"" it means Sam gave apples to Rob and not to anyone else. Therefore, it entails that Sam did not give apples to Sue.",0.0,0.0,1,NEG,1,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,0,Sam only gave Sue GRAPES.,Sam also gave Sue oranges.,"the prosodic focus is on ""GRAPES,"" it means Sam gave Sue grapes and not anything else. This contradicts S2, which claims that Sam also gave Sue oranges.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave Sue GRAPES.,Sam didn't give Sue bananas.,"the prosodic focus is on ""GRAPES,"" it means Sam gave Sue grapes and not anything else. Therefore, it entails that Sam didn't give Sue bananas.",0.0,0.0,1,NEG,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,"the prosodic focus is on ""MARY,"" it means Sam gave grapes to Mary and not to anyone else. This contradicts S2, which claims that Sam also gave grapes to Ellen.",0.0,0.0,2,POS,1,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob bananas.,"the prosodic focus is on ""oranges,"" it means Sam gave Rob oranges and not anything else. This contradicts S2, which claims that Sam also gave Rob bananas.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,"the prosodic focus is on ""BANANAS,"" it means Sam gave Sue bananas and not anything else. Therefore, it entails that Sam didn't give Sue grapes.",0.0,0.0,2,NEG,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,"the prosodic focus is on ""GRAPES,"" it means Sam gave Tom grapes and not anything else. Therefore, it entails that Sam didn't give Tom apples.",0.0,0.0,2,NEG,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave Tom BANANAS.,Sam didn't give Tom grapes.,"the prosodic focus is on ""BANANAS,"" it means Sam gave Tom bananas and not anything else. Therefore, it entails that Sam didn't give Tom grapes.",0.0,0.0,1,NEG,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,"the prosodic focus is on ""apples,"" it means Sam gave Rob apples and not anything else. This contradicts S2, which claims that Sam also gave Rob grapes.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"the prosodic focus is on ""ELLEN,"" it means Sam gave grapes to Ellen and not to anyone else. This contradicts S2, which claims that Sam also gave Ellen oranges.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlyCZezL4aeOTxwOBeIo9pncPnAr
