example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes,Sam didn’t give Tom grapes,"the focus is on ""Ellen,"" it entails that Sam didn't give anyone else grapes, including Tom.",0.0,0.038461538461538464,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam only gave Ellen APPLES,Sam didn’t give Ellen apples,"the focus is on ""apples,"" it means Sam didn’t give Ellen anything other than apples. But S2 contradicts this by saying Sam didn’t give Ellen apples at all.",0.0,0.20689655172413793,2,NEG,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave ROB grapes,Sam also gave Ellen grapes,"the focus is on ""Rob,"" it means that Sam didn’t give grapes to anyone else besides Rob. S2 contradicts this by stating that Sam also gave Ellen grapes.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave ROB apples,Sam also gave Ellen apples,"the focus is on ""Rob,"" it entails Sam didn’t give apples to anyone else besides Rob. S2 contradicts this by stating that Sam also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave ELLEN apples,Sam didn’t give Bill apples,"the focus is on ""Ellen,"" it means that Sam didn’t give anyone else apples. Therefore, Sam didn’t give Bill apples, which is entailed by S1.",0.0,0.037037037037037035,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,0,Sam only gave ROB apples,Sam didn’t give Sue apples,"the focus is on ""Rob,"" it means Sam didn’t give anyone else apples. Therefore, Sam didn’t give Sue apples, which is entailed by S1.",0.0,0.038461538461538464,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,0,Sam only gave ROB ORANGES,Sam also gave Rob apples,"the focus is on ""oranges,"" the sentence means that Sam didn’t give Rob anything other than oranges. S2 introduces a new fact (apples) not related or entailed by S1, making them independent.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave ROB apples,Sam also gave Rob grapes,"the focus is on ""apples,"" it means that Sam didn’t give Rob anything besides apples. S2 introduces a new fact (grapes) unrelated to apples, which makes the two statements independent.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,1,Sam only gave ROB bananas,Sam didn’t give Ellen bananas,"the focus is on ""Rob,"" it means Sam didn’t give bananas to anyone other than Rob, so Sam didn’t give Ellen bananas, which is entailed by S1.",0.0,0.034482758620689655,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave MARY apples,Sam also gave Ellen apples,"the focus is on ""Mary,"" it means Sam didn’t give apples to anyone other than Mary. S2 contradicts this by saying that Sam also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmGu2Q5mnjCdReCpBa1HdM53hyjE
