example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"S1 states that Sam *only* gave Sue apples, contradicting S2 which states that Sam also gave Rob apples.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave BILL apples.,Sam didn't give Mary apples.,"S1 states that Sam *only* gave Bill apples, which implies that he didn't give apples to anyone else, including Mary.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"S1 states that Sam *only* gave Mary oranges, contradicting S2 which states that Sam also gave Ellen oranges.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn't give Tom apples.,"S1 states that Sam *only* gave Ellen apples, which implies that he didn't give apples to anyone else, including Tom.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,"S1 only specifies what Sam gave Rob in terms of bananas, and is independent of what else Sam gave Rob.",0.0,0.0,1,POS,2,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,0,Sam only gave BILL bananas.,Sam didn't give Bill grapes.,"S1 only specifies what Sam gave Bill in terms of bananas, and is independent of what else Sam gave Bill.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,0,B,0,Sam only gave ELLEN oranges.,Sam didn't give Ellen grapes.,"S1 only specifies what Sam gave Ellen in terms of oranges, and is independent of what else Sam gave Ellen.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,A,0,Sam only gave MARY bananas.,Sam didn't give Ellen bananas.,"S1 states that Sam *only* gave Mary bananas, which implies that he didn't give bananas to anyone else, including Ellen.",0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,"S1 states that Sam *only* gave Bill bananas, which implies that he didn't give bananas to anyone else, including Tom.",0.0,0.0,1,NEG,1,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,0,B,0,Sam only gave SUE oranges.,Sam didn't give Sue grapes.,"S1 only specifies what Sam gave Sue in terms of oranges, and is independent of what else Sam gave Sue.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20251217_141810,
