example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"Sam only gave ROB bananas, so he didn't give Tom bananas.",0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,Sam only gave Tom grapes doesn't entail anything about what he gave Tom besides grapes.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"Sam only gave SUE oranges, so he didn't give Sue apples.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"Sam only gave SUE bananas, so he didn't give Rob bananas.",0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"Sam only gave Tom ORANGES, so he didn't give Tom bananas.",0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,"Sam only gave SUE apples, so he didn't give Sue oranges.",0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,0,Sam only gave SUE grapes.,Sam didn't give Sue apples.,"Sam only gave SUE grapes, so he didn't give Sue apples.",0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"Sam only gave ELLEN oranges, so he didn't give Ellen bananas.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,0,A,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"Sam only gave MARY grapes, so he didn't give Mary apples.",0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,Sam only gave BILL oranges doesn't entail anything about what he gave Mary.,0.0,0.0,1,POS,1,f2,audio,gemini,gemini-2.0-flash,20251217_141913,
