example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"focusing on ""Ellen"" means that no one else but Ellen received bananas. However, saying Sam also gave Ellen grapes suggests that Ellen got something else besides bananas, which contradicts ""only"" focusing on Ellen.",0.0,0.0,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,1,Sam only gave MARY apples.,Sam didn’t give Mary oranges.,"focusing on ""Mary"" means no one else but Mary received apples. The statement that Sam didn’t give Mary oranges is consistent with S1, as it limits what Mary received to only apples.",0.0,0.03571428571428571,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,"focusing on ""Tom"" means no one but Tom received bananas. But S2 says Sam also gave Tom apples, which contradicts the idea that Tom only got bananas.",0.0,0.0,1,POS,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,1,Sam only gave MARY apples.,Sam didn’t give Mary grapes.,"focusing on ""Mary"" means no one else but Mary received apples. Saying Mary didn’t get grapes supports the focus that Mary only received apples.",0.0,0.037037037037037035,1,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,0,Sam only gave MARY oranges.,Sam didn’t give Mary apples.,"focusing on ""Mary"" means no one else but Mary received oranges. Saying Mary didn’t get apples is consistent because the focus ensures she only got oranges.",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,C,0,Sam only gave ROB apples.,Sam also gave Mary apples.,"focusing on ""Rob"" means only Rob got apples. But S2 says Mary also got apples, contradicting that exclusivity.",0.0,0.0,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave Tom apples.,"focusing on ""Rob"" means only Rob got apples. If Tom also got apples, that contradicts the statement.",0.0,0.0,1,POS,1,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,0,Sam only gave ROB oranges.,Sam didn’t give Rob bananas.,"focusing on ""Rob"" means no one but Rob received oranges. Saying he didn’t get bananas is consistent since the focus is only on Rob getting oranges.",0.0,0.037037037037037035,2,NEG,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave BILL grapes.,Sam also gave Rob grapes.,"focusing on ""Bill"" means only Bill got grapes. Saying Rob also got grapes contradicts that exclusivity.",0.0,0.0,2,POS,1,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,0,B,0,Sam only gave ROB grapes.,Sam also gave Rob bananas.,"focusing on ""Rob"" means only Rob got grapes. Saying Rob also got bananas doesn’t contradict or confirm that, as the focus is on what was exclusively given in terms of grapes, not other fruits.",0.0,0.0,2,POS,2,f9,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmIPf0hVa5zuK1SA8b7IgKG0sovm
