example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,0,B,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"the second sentence talks about grapes, which is a new piece of information that is independent of the focus on bananas in the first sentence.",0.0,0.0,2,POS,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"the focus in the first sentence is that Mary is the only person who received apples, but the second sentence says Ellen also received apples, which contradicts the first statement.",0.0,0.0,1,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,0,Sam only gave SUE apples.,Sam also gave Tom apples.,"the first sentence focuses on Sue being the only recipient of apples, but the second sentence says Tom also got apples, contradicting the first statement.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"if Bill only received grapes, it follows logically that he didn’t receive oranges.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"if the only thing Bill received was apples, it means that Bill did not get bananas, so the second sentence is entailed by the first.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"if Sue only got apples, she did not receive bananas. So the second sentence is entailed by the first.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"the first sentence is about Ellen and the second sentence is about Tom, the two statements are independent of each other.",0.0,0.0,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"if Tom is the only person who received apples, then Mary clearly did not receive any apples. The second sentence follows from the first.",0.0,0.0,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam only gave TOM apples.,Sam also gave Bill apples.,"the first sentence states that Tom is the only recipient of apples, but the second sentence says Bill was also given apples, which contradicts the first statement.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,0,Sam only gave SUE bananas.,Sam didn't give Tom bananas.,"if Sue is the only one who received bananas, it follows that Tom did not receive bananas. The second sentence is entailed by the first.",0.0,0.0,2,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmFPbZEs73lkaM3tupVe0aqOVoLP
