example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"if Sam only gave Ellen grapes, it implies he gave no one else (like Tom) grapes.",0.0,0.0,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,1,Sam only gave Ellen APPLES.,Sam didn't give Ellen apples.,"if Sam only gave Ellen apples, it directly contradicts the statement that he didn't give her apples.",0.0,0.1724137931034483,2,NEG,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave ROB grapes.,Sam also gave Ellen grapes.,"if Sam only gave Rob grapes, it contradicts the idea that he also gave Ellen grapes.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,1,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,"if Sam only gave Rob apples, it contradicts the statement that he also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave Ellen apples.,Sam didn’t give BILL apples.,"if Sam only gave Ellen apples, that means no one else, including Bill, got apples.",0.0,0.037037037037037035,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,1,Sam only gave Rob APPLES.,Sam didn’t give Sue apples.,"if Sam only gave Rob apples, it means nobody else, including Sue, got apples.",0.0,0.038461538461538464,2,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"if Sam only gave Rob oranges, it contradicts the statement that he also gave Rob apples.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,"if Sam only gave Rob apples, it contradicts the idea that he also gave Rob grapes.",0.0,0.0,1,POS,2,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,0,Sam only gave Rob BANANAS.,Sam didn’t give Ellen bananas.,"if Sam only gave Rob bananas, it implies that he didn’t give anyone else (including Ellen) bananas.",0.0,0.034482758620689655,1,NEG,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,"if Sam only gave Mary apples, it contradicts the idea that he also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmESiLnD4xYCaHYO13e28q8z0Wui
