example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"S1, with prosodic focus on ""BILL,"" means that Sam didn't give bananas to anyone other than Bill. However, S2 introduces that Sam also gave Bill grapes, which doesn’t contradict the exclusive nature of S1's focus. Instead, it contradicts the implication that Bill only received bananas. Hence, S2 contradicts the inferred exclusivity introduced by S1.",0.0,0.0,2,POS,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"S1, with prosodic focus on ""MARY,"" means that Sam didn't give apples to anyone other than Mary. S2 directly contradicts this by stating that Sam also gave apples to Ellen.",0.0,0.0,1,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,0,Sam only gave SUE apples.,Sam also gave Tom apples.,"S1, with prosodic focus on ""SUE,"" implies that Sue was the only recipient of apples. S2 contradicts this by stating that Tom also received apples.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"S1, with prosodic focus on ""BILL,"" means that Sam gave grapes exclusively to Bill, and not any other person or any other item to Bill. S2 supports this by stating that Bill didn’t get oranges, which aligns with the exclusivity from S1.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"S1, with prosodic focus on ""BILL,"" means Sam gave apples exclusively to Bill (and no other person or item to Bill). Given this, S2, which claims Sam didn’t give Bill bananas, is entailed because the focus of S1 rules out any other items being given to Bill.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"S1, with prosodic focus on ""SUE,"" means that Sue is the only person who received apples and that she didn’t receive any other fruits. Thus, S2 is entailed as it indicates Sue didn't receive bananas, which is consistent with S1's exclusivity.",0.0,0.0,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"S1, with prosodic focus on ""ELLEN,"" means that Ellen is the only recipient of oranges. S2 states that Tom didn’t get any oranges, which is additional and independent information that does not follow directly from S1, but is not in contradiction either.",0.0,0.0,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"S1, with prosodic focus on ""TOM,"" means that Tom is the sole recipient of apples. Therefore, S2 is entailed since it aligns with the idea that no one else (like Mary) received apples.",0.0,0.0,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam only gave TOM apples.,Sam also gave Bill apples.,"S1, placing focus on ""TOM,"" means Tom is the only person who received apples. S2 contradicts this by stating that Bill also received apples, directly opposing the exclusivity implied by S1.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,0,Sam only gave SUE bananas.,Sam didn't give Tom bananas.,"S1, with prosodic focus on ""SUE,"" means that Sue is the only recipient of bananas. Thus, S2 is entailed as it states that Tom did not receive any bananas, consistent with S1's exclusive focus.",0.0,0.0,2,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20251217_135341,chatcmpl-CnmHu3wpGDqdJ1nrbjAWLaZGEEk0F
