example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave ROB apples.,Sam didn’t give Sue apples.,"the focus in S1 is on “ROB,” meaning Sam gave apples to only Rob and no one else. This entails that Sue did not receive apples.",0.0,0.038461538461538464,1,NEG,1,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"the focus in S1 is on “SUE” and the meaning of the sentence is that Sue is the only one Sam gave grapes to. But S2 says Sam also gave Sue oranges, which contradicts the earlier exclusivity.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE grapes.,Sam didn’t give Sue bananas.,"the focus in S1 is on “SUE,” meaning Sue is the only recipient of the grapes. This implies Sam didn’t give her bananas, so S2 is entailed.",0.0,0.037037037037037035,1,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,"the focus in S1 is on “MARY,” meaning Mary is the only person who received grapes. If S2 states Sam also gave Ellen grapes, that directly contradicts the exclusivity in S1.",0.0,0.0,2,POS,1,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob bananas.,"the focus in S1 is on “ROB” receiving only oranges. If S2 says he also got bananas, that contradicts the exclusivity of S1.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
5,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave SUE BANANAS.,Sam didn’t give Sue grapes.,focusing on “BANANAS” means those are the only fruit Sue got. This entails that Sue didn’t get grapes.,0.0,0.038461538461538464,2,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
6,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam only gave TOM GRAPES.,Sam didn’t give Tom apples.,"focusing on “GRAPES” means that Tom only got grapes, and no other fruit. This means he didn’t get apples either.",0.0,0.038461538461538464,2,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
7,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM bananas.,Sam didn’t give Tom grapes.,"focusing on “TOM” receiving only bananas means he didn’t get grapes, which entails S2.",0.0,0.038461538461538464,1,NEG,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
8,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave ROB APPLES.,Sam also gave Rob grapes.,"focusing on “APPLES” means Rob only got apples. If S2 says he also got grapes, that contradicts the exclusivity.",0.0,0.0,2,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
9,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"focusing on “ELLEN” means she only got grapes. If S2 says she also got oranges, that contradicts S1.",0.0,0.0,1,POS,2,f6,audio,openai,gpt-4o-audio-preview,20260105_092133,chatcmpl-Cub7GIY5AzncC6QmwlHZIfe2kK8im,1
