example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,"only ROB received bananas, so Tom did not receive bananas.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5,20251218_174413,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,"S1 restricts who got grapes, not what Tom got; Tom may or may not have gotten oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20251218_174413,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,1,B,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"S1 restricts who got oranges, not what Sue got; she could also have gotten apples.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5,20251218_174413,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,"only Sue received bananas, so Rob did not receive bananas.",0.0,0.0,1,NEG,1,f2,oracle,openai,gpt-5,20251218_174413,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,"the only thing Tom got was oranges, so he did not get bananas.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5,20251218_174413,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,"S1 restricts who got apples, not whether Sue also got oranges.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20251218_174413,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,"the only thing Sue got was grapes, so she did not get apples.",0.0,0.0,2,NEG,2,f2,oracle,openai,gpt-5,20251218_174413,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,1,B,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"S1 restricts who got oranges, not whether Ellen also got bananas.",0.0,0.0,1,POS,2,f2,oracle,openai,gpt-5,20251218_174413,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,"S1 restricts who got grapes, not whether Mary also got apples.",0.0,0.0,1,NEG,2,f2,oracle,openai,gpt-5,20251218_174413,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,1,C,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,"only Bill received oranges, so Mary did not; S2 says Mary did, which contradicts S1.",0.0,0.0,1,POS,1,f2,oracle,openai,gpt-5,20251218_174413,
