example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,"""only ROB"" means only Rob received apples, so Sue did not.",0.0,0.0,1,NEG,1,f6,oracle,openai,gpt-5,20251218_173456,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,S1 restricts who got grapes (only Sue) but says nothing about what else Sue got; giving her oranges is neither entailed nor ruled out.,0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5,20251218_173456,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"S1 limits who received grapes, not whether Sue received bananas.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5,20251218_173456,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,"S1 says Mary received only grapes, not that others couldn’t also receive grapes.",0.0,0.0,2,POS,1,f6,oracle,openai,gpt-5,20251218_173456,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,"S1 says Rob received only oranges, while S2 says he also got bananas.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5,20251218_173456,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,"if Sue got only bananas, she did not get grapes.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5,20251218_173456,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,1,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,"if Tom got only grapes, he did not get apples.",0.0,0.0,2,NEG,2,f6,oracle,openai,gpt-5,20251218_173456,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"S1 restricts who got bananas (only Tom), not whether Tom received other fruits like grapes.",0.0,0.0,1,NEG,2,f6,oracle,openai,gpt-5,20251218_173456,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,"S1 says Rob received only apples, while S2 says he also got grapes.",0.0,0.0,2,POS,2,f6,oracle,openai,gpt-5,20251218_173456,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,S1 limits grapes to Ellen but doesn’t restrict what else Ellen received; she could also get oranges.,0.0,0.0,1,POS,2,f6,oracle,openai,gpt-5,20251218_173456,
