example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"focusing on BILL in S1 means Sam gave grapes to Bill and not to anyone else. S2 says Sam also gave Sue grapes, contradicting that exclusivity.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"focusing on SUE in S1 means Sam gave oranges to Sue and not anyone else. S2 says Sam also gave Rob oranges, which contradicts the exclusivity.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"focusing on SUE in S1 means that no one else besides Sue got grapes. S2 says Ellen didn’t get grapes, which is consistent with that exclusivity.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"focusing on apples in S1 means that apples were the only thing Sam gave to Tom, and no other item like grapes. S2 says Sam didn’t give Tom grapes, consistent with that.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
4,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"focusing on ORANGES in S1 means oranges were the only thing Sam gave to Rob. S2 says Sam also gave apples to Rob, which contradicts that exclusivity.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
5,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"focusing on SUE in S1 means that Sue was the only recipient of grapes. S2 says Sam didn’t give Tom grapes, which is consistent with that exclusivity.",0.0,0.0,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"focusing on ELLEN in S1 means that Ellen was the only recipient of bananas. S2 says Sam also gave Mary bananas, which contradicts that exclusivity.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"focusing on bananas in S1 means bananas were the only thing Sam gave Rob. S2 says Sam didn’t give Rob oranges, which is consistent with that exclusivity.",0.0,0.0,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"focusing on bananas in S1 means that bananas were the only thing Sam gave to Mary. S2 says Sam also gave Mary apples, contradicting that exclusivity.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,0,A,0,Sam only gave SUE oranges.,Sam didn't give Rob oranges.,"focusing on SUE in S1 means Sue was the only recipient of oranges. S2 says Sam didn’t give Rob oranges, which is consistent with that exclusivity.",0.0,0.0,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZhhYh2OJILfF9tb7wcT05uKe0L,2
