example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Rob apples.,"Sam only gave Sue apples, and no one else.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
1,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,what Sam gave to Mary is independent of what Sam gave to Bill.,0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
2,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,"Sam only gave Mary oranges, and no one else.",0.0,0.0,1,POS,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
3,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,1,B,1,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,what Sam gave to Tom is independent of what Sam gave to Ellen.,0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
4,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave Rob oranges.,what Sam gave to Rob is independent of who else Sam gave bananas to.,0.0,0.0,1,POS,2,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,0,B,1,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,what Sam gave to Bill is independent of what kind of fruit Sam gave to Bill.,0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,"Sam only gave Ellen oranges, and nothing else.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,what Sam gave to Ellen is independent of what Sam gave to Mary.,0.0,0.0,2,NEG,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,0,B,1,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,what Sam gave to Tom is independent of what Sam gave to Bill.,0.0,0.0,1,NEG,1,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,1,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,"Sam only gave Sue oranges, and nothing else.",0.0,0.0,2,NEG,2,f4,audio,gemini,gemini-2.0-flash,20260105_094210,,0
