example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,A,0,B,1,Sam only gave ROB bananas.,Sam didn't give Tom bananas.,S1 is about Rob and S2 is about Tom.,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
1,0,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave TOM grapes.,Sam didn't give Tom oranges.,S1 is about grapes and S2 is about oranges.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
2,0,Sam only gave SUE oranges.,Sam also gave Sue apples.,B,0,C,1,Sam only gave SUE oranges.,Sam also gave Sue apples.,"S1 states Sue only received oranges, contradicting S2 which states she also received apples.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
3,0,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,A,0,B,1,Sam only gave SUE bananas.,Sam didn't give Rob bananas.,S1 is about Sue and S2 is about Rob.,0.0,0.0,1,NEG,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
4,0,Sam only gave Tom ORANGES.,Sam didn't give Tom bananas.,A,0,B,0,Sam only gave TOM oranges.,Sam didn't give Tom bananas.,S1 is about oranges and S2 is about bananas.,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
5,0,Sam only gave SUE apples.,Sam didn't give Sue oranges.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue oranges.,S1 is about apples and S2 is about oranges.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
6,0,Sam only gave Sue GRAPES.,Sam didn't give Sue apples.,A,0,B,0,Sam only gave SUE grapes.,Sam didn't give Sue apples.,S1 is about grapes and S2 is about apples.,0.0,0.0,2,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
7,0,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,B,0,C,1,Sam only gave ELLEN oranges.,Sam also gave Ellen bananas.,"S1 states Ellen only received oranges, contradicting S2 which states she also received bananas.",0.0,0.0,1,POS,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
8,0,Sam only gave MARY grapes.,Sam didn't give Mary apples.,B,1,B,1,Sam only gave MARY grapes.,Sam didn't give Mary apples.,S1 is about grapes and S2 is about apples.,0.0,0.0,1,NEG,2,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
9,0,Sam only gave BILL oranges.,Sam also gave Mary oranges.,C,0,B,1,Sam only gave BILL oranges.,Sam also gave Mary oranges.,S1 is about Bill and S2 is about Mary.,0.0,0.0,1,POS,1,f2,audio,gemini,gemini-2.0-flash,20251217_164100,
