example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave Ellen GRAPES.,Sam also gave Ellen oranges.,"S1 states Sam *only* gave Ellen grapes, meaning he gave her no other fruit. S2 states he *also* gave her oranges, which contradicts the 'only' in S1.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
1,0,Sam only gave ELLEN apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave ELLEN apples.,Sam also gave Rob apples.,"S1 states Sam only gave *Ellen* apples, implying he didn't give apples to anyone else. S2 states he *also* gave Rob apples, which contradicts the 'only' in S1.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
2,0,Sam only gave MARY oranges.,Sam didn't give Mary bananas.,B,0,A,0,Sam only gave Mary ORANGES.,Sam didn't give Mary bananas.,"S1 states Sam only gave Mary oranges, which entails that he did not give her any other fruit, including bananas.",0.0,0.0,1,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
3,0,Sam only gave MARY oranges.,Sam also gave Tom oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave Tom oranges.,"S1 states Sam only gave *Mary* oranges, implying he didn't give oranges to anyone else. S2 states he *also* gave Tom oranges, which contradicts the 'only' in S1.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,B,1,B,1,Sam only gave Mary ORANGES.,Sam didn't give Tom oranges.,"S1 states Sam only gave Mary oranges (implying no other fruit to Mary), but it makes no claim about what Sam gave or didn't give to Tom. Therefore, S2 is independent of S1.",0.0,0.0,2,NEG,1,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
5,0,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary GRAPES.,Sam also gave Mary apples.,"S1 states Sam *only* gave Mary grapes, meaning he gave her no other fruit. S2 states he *also* gave her apples, which contradicts the 'only' in S1.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
6,0,Sam only gave SUE apples.,Sam also gave Mary apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave Mary apples.,"S1 states Sam only gave *Sue* apples, implying he didn't give apples to anyone else. S2 states he *also* gave Mary apples, which contradicts the 'only' in S1.",0.0,0.0,1,POS,1,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
7,0,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,C,1,C,1,Sam only gave Bill ORANGES.,Sam also gave Bill bananas.,"S1 states Sam *only* gave Bill oranges, meaning he gave him no other fruit. S2 states he *also* gave him bananas, which contradicts the 'only' in S1.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
8,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,C,1,C,1,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"S1 states Sam *only* gave Ellen bananas, meaning he gave her no other fruit. S2 states he *also* gave her grapes, which contradicts the 'only' in S1.",0.0,0.0,2,POS,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
9,0,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave Tom BANANAS.,Sam didn't give Tom oranges.,"S1 states Sam only gave Tom bananas, which entails that he did not give him any other fruit, including oranges.",0.0,0.0,2,NEG,2,f5,audio,gemini,gemini-2.5-flash,20260223_174122,,
