example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"S1 states that Bill is the only person who received grapes from Sam, which contradicts S2's claim that Sam gave grapes to Sue.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
1,0,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"S1 states that Sue is the only person who received oranges from Sam, which contradicts S2's claim that Sam gave oranges to Rob.",0.0,0.0,1,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,"S1 states that Sue is the only person who received grapes from Sam, which entails that Sam did not give grapes to Ellen.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM apples.,Sam didn't give Tom grapes.,"S1 is about who received apples from Sam, which provides no information about whether Sam gave Tom grapes.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,1,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,"S1 states that oranges are the only thing Sam gave Rob, which contradicts S2's claim that Sam gave Rob apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,"S1 states that Sue is the only person who received grapes from Sam, which entails that Sam did not give grapes to Tom.",0.0,0.0,1,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,"S1 is about what Sam gave Ellen, which provides no information about whether Sam gave bananas to Mary.",0.0,0.0,2,POS,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,"S1 is about who received bananas from Sam, which provides no information about whether Sam gave Rob oranges.",0.0,0.0,1,NEG,2,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,1,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,"S1 states that bananas are the only thing Sam gave Mary, which contradicts S2's claim that Sam gave Mary apples.",0.0,0.0,2,POS,2,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,1,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,"S1 is about what Sam gave Sue, which provides no information about whether Sam gave oranges to Rob.",0.0,0.0,2,NEG,1,f1,audio,gemini,gemini-3.1-pro-preview,20260223_171135,,
