example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,1,C,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"the focus in S1 is on ""BILL,"" which means the restriction is about who received bananas. S1 entails that Bill did not give bananas to anyone else but Bill. However, S2 introduces a different item (grapes) given to Bill, which contradicts the exclusivity implied by S1 about the recipients, turning the statement into a contradiction with respect to Bill being the sole focus of the action (bananas only to Bill).",0.0,0.0,2,POS,2,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,1,C,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"the focus in S1 is on ""MARY,"" meaning Sam gave apples only to Mary and not to anyone else. S2 states that Sam also gave apples to Ellen, which directly contradicts the exclusivity in S1.",0.0,0.0,1,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,0,C,0,Sam only gave SUE apples.,Sam also gave Tom apples.,"the focus in S1 is on ""SUE,"" meaning only Sue received apples, and no one else did. S2 now says that Tom also got apples, which contradicts that exclusivity.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn’t give Bill oranges.,"the focus in S1 is on ""BILL,"" meaning Bill was the only person to receive grapes. This doesn’t say anything about oranges, but S1 restricts Bill’s only gift to grapes, which aligns with the fact that Bill didn’t get other items like oranges in S2. Hence, S2 is entailed by S1.",0.0,0.03571428571428571,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
4,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn’t give Bill bananas.,"the focus is on ""BILL,"" meaning Bill is the only person Sam gave apples to, and no one else received apples from Sam instead of Bill. If Bill only receives apples, then it follows that Bill didn’t receive bananas or any other items, so S2 is entailed by S1.",0.0,0.03571428571428571,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
5,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE apples.,Sam didn’t give Sue bananas.,"the focus is on ""SUE,"" meaning Sue is the only one who got apples (no other person got apples from Sam), and Sue didn’t get other items like bananas. So the statement that Sue didn’t get bananas naturally follows from S1’s exclusivity that Sue only received apples.",0.0,0.037037037037037035,1,NEG,2,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,1,A,1,Sam only gave ELLEN oranges.,Sam didn’t give Tom oranges.,"the focus is on ""ELLEN,"" meaning Ellen is the only person who received oranges. If only Ellen got oranges, then it’s entailed that Tom did not get oranges or anyone else besides Ellen.",0.0,0.037037037037037035,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave TOM apples.,Sam didn’t give Mary apples.,"the focus is on ""TOM,"" meaning only Tom got apples. If Tom is the only person who received apples, then it’s entailed that Mary did not get any apples.",0.0,0.037037037037037035,1,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,0,C,0,Sam only gave TOM apples.,Sam also gave Bill apples.,"the focus in S1 is on ""TOM,"" meaning Tom is the sole recipient of apples. If S2 says that Bill also got apples, this contradicts the exclusivity implied by S1.",0.0,0.0,2,POS,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,0,A,0,Sam only gave SUE bananas.,Sam didn’t give Tom bananas.,"the focus is on ""SUE,"" meaning only Sue got bananas. If Sue is the only person who received bananas, then S2 (which says Tom didn’t get bananas) is entailed by that exclusivity.",0.0,0.037037037037037035,2,NEG,1,f7,audio,openai,gpt-4o-audio-preview,20260105_090813,chatcmpl-CuazzwzC1xPMDA8YRSr0Gjh2qI13Y,2
