example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,0,SAM only gave Rob apples.,Sam didn't give Sue apples.,"if Sam *only* gave Rob apples, then he could not have given Sue apples.",0.0,0.0,1,NEG,1,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"if Sam *only* gave Sue grapes, he could not have given her oranges.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"if Sam *only* gave Sue grapes, then he could not have given her bananas.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,1,B,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,the statement about Mary does not entail or contradict the statement about Ellen.,0.0,0.0,2,POS,1,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob bananas.,"if Sam *only* gave Rob oranges, he could not have given him bananas.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave SUE bananas.,Sam didn't give Sue grapes.,"if Sam *only* gave Sue bananas, then he could not have given her grapes.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam only gave TOM grapes.,Sam didn't give Tom apples.,"if Sam *only* gave Tom grapes, then he could not have given him apples.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"if Sam *only* gave Tom bananas, then he could not have given him grapes.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,"if Sam *only* gave Rob apples, he could not have given him grapes.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"if Sam *only* gave Ellen grapes, she could not have been given oranges.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20251217_141810,
