example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,"the first statement only specifies who Sam gave grapes to, not who he didn't give grapes to.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,0,C,0,Sam only gave ELLEN apples.,Sam didn't give Ellen apples.,"the first statement says Sam gave Ellen apples, and the second says he didn't.",0.0,0.1724137931034483,2,NEG,2,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave ROB grapes.,Sam also gave Ellen grapes.,"the first statement says Sam *only* gave Rob grapes, contradicting the second statement that he also gave Ellen grapes.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave ROB apples.,Sam also gave Ellen apples.,"the first statement says Sam *only* gave Rob apples, contradicting the second statement that he also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,1,B,0,Sam only gave ELLEN apples.,Sam didn't give Bill apples.,"the first statement only specifies who Sam gave apples to, not who he didn't give apples to.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,1,B,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,"the first statement only specifies who Sam gave apples to, not who he didn't give apples to.",0.0,0.0,2,NEG,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,1,B,1,Sam only gave ROB oranges.,Sam also gave Rob apples.,"the first statement is about oranges, and the second is about apples.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave ROB apples.,Sam also gave Rob grapes.,"the first statement is about apples, and the second is about grapes.",0.0,0.0,1,POS,2,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,0,B,1,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,"the first statement only specifies who Sam gave bananas to, not who he didn't give bananas to.",0.0,0.0,1,NEG,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,"the first statement says Sam *only* gave Mary apples, contradicting the second statement that he also gave Ellen apples.",0.0,0.0,2,POS,1,f3,audio,gemini,gemini-2.0-flash,20251217_141810,
