example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave TOM apples.,Sam also gave Tom grapes.,"saying ""only gave TOM apples"" means Tom got no other fruits. Saying ""also gave Tom grapes"" contradicts that, as it adds another fruit for Tom.",0.0,0.0,2,POS,2,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,0,Sam only gave MARY bananas.,Sam didn't give Bill bananas.,"the statement about Mary and bananas doesn’t entail or contradict anything about Bill. The two statements are independent; one is about Mary, the other about Bill.",0.0,0.0,2,NEG,1,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY apples.,Sam also gave Mary bananas.,"""only gave MARY apples"" suggests that Mary got no other fruit. The second statement claims she got bananas, which contradicts the first.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,1,Sam only gave SUE apples.,Sam didn’t give Rob apples.,"the first statement is about Sue’s apples, and the second is about Rob’s apples. There’s no entailment or contradiction between them.",0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
4,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"the first sentence limits what Bill received to bananas, and the second introduces grapes. The two statements are independent in content.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
5,1,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob GRAPES.,Sam didn’t give Rob apples.,saying Rob only received grapes entails that he didn’t receive apples. The second sentence is consistent with that.,0.0,0.038461538461538464,2,NEG,2,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,B,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,"the first is about what Sue received (just grapes), and the second about what Tom received (also grapes). They don’t entail or contradict each other.",0.0,0.0,1,POS,1,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,0,B,1,Sam only gave ELLEN grapes.,Sam didn’t give Rob grapes.,"Ellen’s situation and Rob’s situation are separate. The first says Ellen only got grapes. It says nothing about Rob, so the second is independent.",0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,"the first sentence limits Mary’s gift to only grapes. The second adds bananas, contradicting that.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,B,1,Sam only gave SUE apples.,Sam didn’t give Bill apples.,"Sue’s apples and Bill’s apples are unrelated here. Knowing Sue got only apples doesn’t determine anything about Bill, so they’re independent.",0.0,0.037037037037037035,1,NEG,1,f10,audio,openai,gpt-audio,20260105_083400,chatcmpl-CuaW5zHsXtiqRn0djoLtS2YR0ENii,2
