example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave TOM apples.,Sam also gave Tom grapes.,"S1 says the only thing Sam gave Tom was apples, but S2 says Sam gave Tom something else—grapes—which contradicts that.",0.0,0.0,2,POS,2,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,0,Sam only gave MARY bananas.,Sam didn’t give Bill bananas.,"S1 talks specifically about Mary and what Sam gave her, while S2 discusses Bill without directly relating to the claim about Mary. They are independent.",0.0,0.03571428571428571,2,NEG,1,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY apples.,Sam also gave Mary bananas.,"S1 says Mary only got apples, but S2 says she also got bananas, directly contradicting the assertion in S1.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,B,1,Sam only gave SUE apples.,Sam didn’t give ROB apples.,"S1 is about what Sue received from Sam, while S2 is about what Rob did not receive. There’s no direct connection, so they are independent.",0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"S1 says that Bill only got bananas, but S2 says Bill got grapes as well, which contradicts the exclusivity implied by “only” in S1.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
5,1,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave ROB GRAPES.,Sam didn’t give Rob apples.,"if Rob only got grapes from Sam, then it logically follows that Rob didn’t get apples from him.",0.0,0.038461538461538464,2,NEG,2,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
6,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,B,0,Sam only gave SUE GRAPES.,Sam also gave Tom grapes.,S1 is about what Sue received and S2 is about what Tom received. There’s no direct contradiction or entailment. They’re unrelated.,0.0,0.0,1,POS,1,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
7,1,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,0,Sam only gave ELLEN GRAPES.,Sam didn’t give Rob grapes.,"if Ellen is the only one receiving grapes, then Rob didn’t receive them. So S2 is entailed by S1.",0.0,0.038461538461538464,1,NEG,1,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
8,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave MARY GRAPES.,Sam also gave Mary bananas.,"if Mary only got grapes, then she didn’t get bananas. But S2 says she did, which contradicts S1.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
9,1,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,0,Sam only gave SUE APPLES.,Sam didn’t give Bill apples.,"if Sue is the only person who got apples, that means Bill didn’t get any apples. So S2 is entailed by S1.",0.0,0.037037037037037035,1,NEG,1,f10,audio,openai,gpt-audio,20260105_101056,chatcmpl-CubuxuRUpuH7KmJbRuI4Xop4AAPI6,1
