example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Bill BANANAS.,Sam also gave Bill grapes.,C,0,B,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"S1 focuses on Bill, meaning Sam only gave bananas to Bill, but it doesn't exclude him from receiving other things.",0.0,0.0,2,POS,2,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
1,0,Sam only gave MARY apples.,Sam also gave Ellen apples.,C,0,B,1,Sam only gave MARY apples.,Sam also gave Ellen apples.,"S1 focuses on Mary, meaning Sam only gave apples to Mary, but it doesn't exclude other people from receiving apples.",0.0,0.0,1,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
2,0,Sam only gave Sue APPLES.,Sam also gave Tom apples.,B,1,B,1,Sam only gave Sue APPLES.,Sam also gave Tom apples.,"S1 focuses on apples, meaning Sam only gave apples to Sue, but it doesn't exclude Sue from receiving other things.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
3,0,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,B,0,A,1,Sam only gave BILL grapes.,Sam didn't give Bill oranges.,"S1 focuses on Bill, meaning Sam only gave grapes to Bill, and therefore didn't give him anything else.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
4,0,Sam only gave BILL apples.,Sam didn't give Bill bananas.,B,0,A,1,Sam only gave BILL apples.,Sam didn't give Bill bananas.,"S1 focuses on Bill, meaning Sam only gave apples to Bill, and therefore didn't give him anything else.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
5,0,Sam only gave SUE apples.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE apples.,Sam didn't give Sue bananas.,"S1 focuses on Sue, meaning Sam only gave apples to Sue, but it doesn't exclude her from receiving other things.",0.0,0.0,1,NEG,2,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
6,0,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,A,0,B,1,Sam only gave ELLEN oranges.,Sam didn't give Tom oranges.,"S1 focuses on Ellen, meaning Sam only gave oranges to Ellen, but it doesn't exclude other people from receiving oranges.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
7,0,Sam only gave TOM apples.,Sam didn't give Mary apples.,A,0,B,1,Sam only gave TOM apples.,Sam didn't give Mary apples.,"S1 focuses on Tom, meaning Sam only gave apples to Tom, but it doesn't exclude other people from receiving apples.",0.0,0.0,1,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
8,0,Sam only gave Tom APPLES.,Sam also gave Bill apples.,B,1,B,1,Sam only gave Tom APPLES.,Sam also gave Bill apples.,"S1 focuses on apples, meaning Sam only gave apples to Tom, but it doesn't exclude Tom from receiving other things.",0.0,0.0,2,POS,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
9,0,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,B,1,B,1,Sam only gave Sue BANANAS.,Sam didn't give Tom bananas.,"S1 focuses on bananas, meaning Sam only gave bananas to Sue, but it doesn't exclude other people from receiving bananas.",0.0,0.0,2,NEG,1,f7,audio,gemini,gemini-2.0-flash,20251217_141913,
