example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,1,A,0,Sam only gave Rob apples.,Sam didn't give Sue apples.,"only Rob received apples, so Sue did not.",0.0,0.0,1,NEG,1,f6,baseline,openai,gpt-5,20251218_171537,
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,0,C,0,Sam only gave Sue grapes.,Sam also gave Sue oranges.,"Sue received only grapes, so she cannot also have received oranges.",0.0,0.0,1,POS,2,f6,baseline,openai,gpt-5,20251218_171537,
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,0,A,0,Sam only gave Sue grapes.,Sam didn't give Sue bananas.,"Sue received only grapes, so she did not receive bananas.",0.0,0.0,1,NEG,2,f6,baseline,openai,gpt-5,20251218_171537,
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave Mary grapes.,Sam also gave Ellen grapes.,"only Mary received grapes, so Ellen did not.",0.0,0.0,2,POS,1,f6,baseline,openai,gpt-5,20251218_171537,
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,1,C,0,Sam only gave Rob oranges.,Sam also gave Rob bananas.,"Rob received only oranges, so he did not receive bananas.",0.0,0.0,2,POS,2,f6,baseline,openai,gpt-5,20251218_171537,
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave Sue bananas.,Sam didn't give Sue grapes.,"Sue received only bananas, so she did not receive grapes.",0.0,0.0,2,NEG,2,f6,baseline,openai,gpt-5,20251218_171537,
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,1,A,0,Sam only gave Tom grapes.,Sam didn't give Tom apples.,"Tom received only grapes, so he did not receive apples.",0.0,0.0,2,NEG,2,f6,baseline,openai,gpt-5,20251218_171537,
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,0,A,0,Sam only gave Tom bananas.,Sam didn't give Tom grapes.,"Tom received only bananas, so he did not receive grapes.",0.0,0.0,1,NEG,2,f6,baseline,openai,gpt-5,20251218_171537,
8,0,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave Rob apples.,Sam also gave Rob grapes.,"Rob received only apples, so he did not receive grapes.",0.0,0.0,2,POS,2,f6,baseline,openai,gpt-5,20251218_171537,
9,0,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,0,C,0,Sam only gave Ellen grapes.,Sam also gave Ellen oranges.,"Ellen received only grapes, so she did not receive oranges.",0.0,0.0,1,POS,2,f6,baseline,openai,gpt-5,20251218_171537,
