example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,C,1,C,1,Sam only gave BILL grapes.,Sam also gave Sue grapes.,"in S1, the prosodic focus is on ""BILL,"" meaning Sam gave grapes to Bill and no one else. S2 says Sam also gave Sue grapes, which contradicts the claim in S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
1,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,C,1,C,1,Sam only gave SUE oranges.,Sam also gave Rob oranges.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave oranges to Sue and no one else. S2 states that Sam also gave Rob oranges, contradicting S1.",0.0,0.0,1,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
2,0,Sam only gave SUE grapes.,Sam didn't give Ellen grapes.,A,1,A,1,Sam only gave SUE grapes.,Sam didn’t give Ellen grapes.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave grapes to Sue and no one else. S2 states Sam didn’t give Ellen grapes, which is entailed by S1, since S1 excludes anyone other than Sue from receiving grapes.",0.0,0.03571428571428571,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
3,0,Sam only gave TOM apples.,Sam didn't give Tom grapes.,B,0,A,1,Sam only gave TOM apples.,Sam didn’t give Tom grapes.,"in S1, the prosodic focus is on ""apples,"" meaning Sam gave Tom apples and nothing else to Tom. S2 says Sam didn’t give Tom grapes, which is entailed by S1, as S1 implies that apples were the only thing given to Tom.",0.0,0.038461538461538464,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob apples.,C,1,C,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,"in S1, the prosodic focus is on ""oranges,"" meaning Sam gave Rob oranges and nothing else to Rob. S2 says Sam also gave Rob apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
5,0,Sam only gave SUE grapes.,Sam didn't give Tom grapes.,A,0,B,1,Sam only gave SUE grapes.,Sam didn’t give Tom grapes.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave grapes to Sue and no one else. S2 says that Sam didn’t give Tom grapes. This is independent of S1 because S1 makes no claim about whether anyone else (like Tom) received grapes; it only asserts Sue is the sole grape recipient.",0.0,0.038461538461538464,1,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
6,0,Sam only gave Ellen BANANAS.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Mary bananas.,"in S1, the prosodic focus is on ""ELLEN,"" meaning Sam gave bananas to Ellen and no one else. S2 says Sam also gave Mary bananas, which contradicts S1.",0.0,0.0,2,POS,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
7,0,Sam only gave ROB bananas.,Sam didn't give Rob oranges.,B,0,A,1,Sam only gave ROB bananas.,Sam didn’t give Rob oranges.,"in S1, the prosodic focus is on ""bananas,"" meaning Sam gave Rob bananas and nothing else to Rob. S2 says Sam didn’t give Rob oranges, which is entailed by S1, as S1 implies Rob received only bananas.",0.0,0.037037037037037035,1,NEG,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
8,0,Sam only gave Mary BANANAS.,Sam also gave Mary apples.,C,1,C,0,Sam only gave MARY bananas.,Sam also gave Mary apples.,"in S1, the prosodic focus is on ""bananas,"" meaning Sam gave Mary bananas and nothing else. S2 says Sam also gave Mary apples, which contradicts S1.",0.0,0.0,2,POS,2,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
9,0,Sam only gave Sue ORANGES.,Sam didn't give Rob oranges.,B,1,B,0,Sam only gave SUE oranges.,Sam didn’t give Rob oranges.,"in S1, the prosodic focus is on ""SUE,"" meaning Sam gave oranges to Sue and no one else. S2 says Sam didn’t give Rob oranges. This is independent of S1 because S1 says nothing about Rob; it only talks about Sue being the sole orange recipient.",0.0,0.037037037037037035,2,NEG,1,f1,audio,openai,gpt-audio,20260105_095313,chatcmpl-CubZ7DG2OZFrnthR1H2WOn8ZLIr3Q,0
