example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ROB apples.,Sam didn't give Sue apples.,A,0,B,1,Sam only gave ROB apples.,Sam didn't give Sue apples.,"S2 is independent of S1. S1 focuses on who received apples, while S2 introduces a new person and their lack of apples.",0.0,0.0,1,NEG,1,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
1,0,Sam only gave SUE grapes.,Sam also gave Sue oranges.,B,1,B,1,Sam only gave SUE grapes.,Sam also gave Sue oranges.,"S2 introduces a new item (oranges) that Sue received, which is independent of the information about grapes in S1.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
2,0,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,B,1,B,1,Sam only gave SUE grapes.,Sam didn't give Sue bananas.,"S2 introduces a new item (bananas) that Sue did not receive, which is independent of the information about grapes in S1.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
3,0,Sam only gave Mary GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave MARY grapes.,Sam also gave Ellen grapes.,"S1 states that Mary was the only one who received grapes, while S2 states that Ellen also received grapes, contradicting S1.",0.0,0.0,2,POS,1,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
4,0,Sam only gave Rob ORANGES.,Sam also gave Rob bananas.,C,0,B,0,Sam only gave ROB oranges.,Sam also gave Rob bananas.,"S2 introduces a new item (bananas) that Rob received, which is independent of the information about oranges in S1.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
5,0,Sam only gave Sue BANANAS.,Sam didn't give Sue grapes.,A,0,B,0,Sam only gave SUE bananas.,Sam didn't give Sue grapes.,"S2 introduces a new item (grapes) that Sue did not receive, which is independent of the information about bananas in S1.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
6,0,Sam only gave Tom GRAPES.,Sam didn't give Tom apples.,A,0,B,0,Sam only gave TOM grapes.,Sam didn't give Tom apples.,"S2 introduces a new item (apples) that Tom did not receive, which is independent of the information about grapes in S1.",0.0,0.0,2,NEG,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
7,0,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,B,1,B,1,Sam only gave TOM bananas.,Sam didn't give Tom grapes.,"S2 introduces a new item (grapes) that Tom did not receive, which is independent of the information about bananas in S1.",0.0,0.0,1,NEG,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
8,1,Sam only gave Rob APPLES.,Sam also gave Rob grapes.,C,1,C,0,Sam only gave ROB APPLES.,Sam also gave Rob grapes.,"S1 states that Rob only received apples, while S2 states that Rob also received grapes, contradicting S1.",0.0,0.0,2,POS,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
9,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,B,1,B,1,Sam only gave ELLEN grapes.,Sam also gave Ellen oranges.,"S2 introduces a new item (oranges) that Ellen received, which is independent of the information about grapes in S1.",0.0,0.0,1,POS,2,f6,audio,gemini,gemini-2.0-flash,20260105_093157,,4
