example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave TOM apples.,Sam also gave Tom grapes.,"S1 focuses on TOM, meaning Sam didn't give anyone else apples. S2 contradicts S1 by asserting that Sam gave something else (grapes) to Tom, which conflicts with the implied restriction of only apples to Tom.",0.0,0.0,2,POS,2,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,0,C,1,Sam only gave Tom GRAPES.,Sam also gave Tom oranges.,"S1 focuses on GRAPES, meaning Sam didn't give Tom anything else. S2 contradicts S1 by asserting that Sam gave Tom something else (oranges), which conflicts with the restriction in S1.",0.34615384615384615,0.5714285714285714,2,NEG,1,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave MARY bananas.,Sam didn't give Bill bananas.,"S1 focuses on MARY, meaning Sam didn’t give anyone else bananas. S2 states something about Bill, which is unrelated to Mary and doesn’t conflict or follow from S1. It’s independent.",0.19230769230769232,0.39285714285714285,1,POS,2,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,0,C,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,"S1 focuses on APPLES, meaning Sam didn’t give Mary anything else. S2 contradicts S1 by asserting that Mary also received something else (bananas).",0.16,0.6153846153846154,1,NEG,1,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,A,1,Sam only gave SUE apples.,Sam didn’t give Rob apples.,"S1 focuses on SUE, meaning Sam didn’t give anyone else apples. S2 fits under that restriction by stating that Rob didn’t get apples, which is entailed by S1’s focus.",0.34615384615384615,0.5769230769230769,1,POS,2,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,0,C,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"S1 focuses on BANANAS, meaning Sam didn’t give Bill anything else. S2 contradicts S1 by asserting that Bill also received grapes.",0.34615384615384615,0.5769230769230769,2,NEG,2,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,0,A,1,Sam only gave ROB grapes.,Sam didn’t give Rob apples.,"S1 focuses on ROB, meaning Sam didn’t give anyone else grapes. S2 is consistent with S1 and also fits the focus, as it states that Rob didn’t get something else (apples), which aligns with the idea that the only thing Rob got was grapes.",0.125,0.5,1,POS,1,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,0,C,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,"S1 focuses on SUE, meaning Sam didn’t give anyone else grapes. S2 contradicts that by stating that Tom also got grapes, which violates the restriction imposed by the focus on Sue.",0.15384615384615385,0.34615384615384615,1,NEG,1,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,A,1,Sam only gave ELLEN grapes.,Sam didn’t give Rob grapes.,"S1 focuses on ELLEN, meaning Sam didn’t give anyone else grapes. S2 is consistent with that focus by stating that Rob didn’t receive grapes, which is in line with S1.",0.19230769230769232,0.6153846153846154,1,POS,2,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,0,C,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,"S1 focuses on GRAPES, meaning Sam didn’t give Mary anything else. S2 contradicts S1 by asserting that Mary also received bananas, which conflicts with the restriction in S1.",0.32,0.5925925925925926,1,NEG,1,f10,audio,openai,gpt-audio,20251217_133320,chatcmpl-CnlzDEHdQFfdSKxqXxmYFljxQ4lIP
