example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,1,B,1,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,"S1 restricts who got bananas (only Ellen), not what Ellen got; S2 adds a new, compatible claim not entailed by S1.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-5,20251218_173456,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,1,B,1,Sam only gave MARY apples.,Sam didn't give Mary oranges.,S1 says only Mary received apples; it does not say whether Mary got oranges.,0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-5,20251218_173456,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,1,B,1,Sam only gave TOM bananas.,Sam also gave Tom apples.,"S1 restricts who got bananas (only Tom), not what Tom got; S2 is an additional, not entailed claim.",0.0,0.0,1,POS,2,f9,oracle,openai,gpt-5,20251218_173456,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,1,B,1,Sam only gave MARY apples.,Sam didn't give Mary grapes.,S1 limits recipients of apples to Mary but says nothing about whether Mary got grapes.,0.0,0.0,1,NEG,2,f9,oracle,openai,gpt-5,20251218_173456,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,"S1 says the only thing Mary got was oranges, so she did not get apples.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-5,20251218_173456,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,1,B,1,Sam only gave Rob APPLES.,Sam also gave Mary apples.,"S1 says Rob got only apples, not that only Rob got apples; S2 is compatible and not entailed.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-5,20251218_173456,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave Tom apples.,"S1 says only Rob received apples, so giving apples to Tom would be impossible.",0.0,0.0,1,POS,1,f9,oracle,openai,gpt-5,20251218_173456,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,"S1 says Rob got only oranges, which entails he didn’t get bananas.",0.0,0.0,2,NEG,2,f9,oracle,openai,gpt-5,20251218_173456,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,1,B,1,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,"S1 restricts what Bill got (only grapes), not who else got grapes.",0.0,0.0,2,POS,1,f9,oracle,openai,gpt-5,20251218_173456,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,"S1 says Rob got only grapes, which rules out his getting bananas.",0.0,0.0,2,POS,2,f9,oracle,openai,gpt-5,20251218_173456,
