example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,C,0,Sam only gave ELLEN bananas.,Sam also gave Rob bananas.,Sam only gave ELLEN bananas entails that Sam did not give anyone else bananas.,0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,1,Sam only gave ROB grapes.,Sam also gave Rob oranges.,Sam only gave ROB grapes entails that Sam did not give Rob anything else.,0.0,0.0,1,POS,2,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,1,Sam only gave TOM apples.,Sam also gave Bill apples.,Sam only gave TOM apples entails that Sam did not give anyone else apples.,0.0,0.0,1,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,1,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,Sam only gave Mary APPLES entails that Sam did not give Mary anything else.,0.0,0.0,2,POS,2,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,1,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,Sam only gave Ellen ORANGES entails that Sam did not give anyone else oranges.,0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,Sam only gave Rob ORANGES entails that Sam didn't give Rob anything else.,0.0,0.0,2,NEG,2,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,0,A,1,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,Sam only gave Bill BANANAS entails that Sam didn't give Bill anything else.,0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,C,0,Sam only gave ROB bananas.,Sam also gave Sue bananas.,Sam only gave ROB bananas entails that Sam didn't give anyone else bananas.,0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,0,A,1,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,Sam only gave Bill BANANAS entails that Sam didn't give Bill anything else.,0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,1,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,Sam only gave Ellen GRAPES entails that Sam didn't give anyone else grapes.,0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141913,
