example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,C,0,Sam only gave Ellen bananas.,Sam also gave Rob bananas.,"""only gave Ellen bananas"" rules out giving bananas to anyone else, so he didn't give Rob bananas.",0.0,0.0,2,POS,1,f8,baseline,openai,gpt-5,20251218_171537,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,0,Sam only gave Rob grapes.,Sam also gave Rob oranges.,"""only gave Rob grapes"" means he didn't give Rob anything besides grapes, so giving Rob oranges is excluded.",0.0,0.0,1,POS,2,f8,baseline,openai,gpt-5,20251218_171537,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,0,Sam only gave Tom apples.,Sam also gave Bill apples.,"""only gave Tom apples"" precludes giving apples to anyone other than Tom, including Bill.",0.0,0.0,1,POS,1,f8,baseline,openai,gpt-5,20251218_171537,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,0,Sam only gave Mary apples.,Sam also gave Mary bananas.,"""only gave Mary apples"" means he didn't give Mary anything other than apples, so not bananas.",0.0,0.0,2,POS,2,f8,baseline,openai,gpt-5,20251218_171537,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,0,Sam only gave Ellen oranges.,Sam also gave Sue oranges.,"""only gave Ellen oranges"" rules out giving oranges to anyone else, including Sue.",0.0,0.0,2,POS,1,f8,baseline,openai,gpt-5,20251218_171537,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave Rob oranges.,Sam didn't give Rob apples.,"if he only gave Rob oranges, then he necessarily did not give Rob apples.",0.0,0.0,2,NEG,2,f8,baseline,openai,gpt-5,20251218_171537,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,0,A,0,Sam only gave Bill bananas.,Sam didn't give Ellen bananas.,giving bananas only to Bill entails he did not give bananas to Ellen.,0.0,0.0,2,NEG,1,f8,baseline,openai,gpt-5,20251218_171537,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,C,0,Sam only gave Rob bananas.,Sam also gave Sue bananas.,"""only gave Rob bananas"" precludes giving bananas to Sue.",0.0,0.0,2,POS,1,f8,baseline,openai,gpt-5,20251218_171537,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,0,A,0,Sam only gave Bill bananas.,Sam didn't give Mary bananas.,giving bananas only to Bill entails he did not give bananas to Mary.,0.0,0.0,2,NEG,1,f8,baseline,openai,gpt-5,20251218_171537,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,0,Sam only gave Ellen grapes.,Sam didn't give Rob grapes.,giving grapes only to Ellen entails he did not give grapes to Rob.,0.0,0.0,2,NEG,1,f8,baseline,openai,gpt-5,20251218_171537,
