example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave SUE apples.,Sam also gave Rob apples.,C,1,C,1,Sam only gave SUE apples.,Sam also gave ROB apples.,"S1 says Sam only gave apples to Sue, implying that no one else received apples. S2 contradicts this by saying Rob also received apples.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
1,0,Sam only gave Bill APPLES.,Sam didn't give Mary apples.,B,0,A,0,Sam only gave BILL apples.,Sam didn’t give MARY apples.,"if Sam only gave apples to Bill, it must be true that Mary didn't get any.",0.0,0.037037037037037035,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
2,0,Sam only gave MARY oranges.,Sam also gave Ellen oranges.,C,1,C,1,Sam only gave MARY oranges.,Sam also gave ELLEN oranges.,"S1 claims Mary is the only one who got oranges, but S2 contradicts this by saying Ellen also got oranges.",0.0,0.0,1,POS,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
3,0,Sam only gave Ellen APPLES.,Sam didn't give Tom apples.,B,0,A,0,Sam only gave ELLEN apples.,Sam didn’t give TOM apples.,"if Ellen is the only one who got apples, then Tom would not have received any apples.",0.0,0.038461538461538464,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
4,0,Sam only gave ROB bananas.,Sam also gave Rob oranges.,B,1,B,1,Sam only gave ROB bananas.,Sam also gave ROB oranges.,"S1 talks about bananas, and S2 talks about oranges, they don't contradict each other, and S2 does not entail or support S1 in any way. They are independent facts.",0.0,0.0,1,POS,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
5,0,Sam only gave Bill BANANAS.,Sam didn't give Bill grapes.,A,1,A,0,Sam only gave BILL bananas.,Sam didn’t give BILL grapes.,"if Sam only gave Bill bananas, then it follows logically that Bill did not receive grapes.",0.0,0.037037037037037035,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
6,0,Sam only gave Ellen ORANGES.,Sam didn't give Ellen grapes.,A,1,A,0,Sam only gave ELLEN oranges.,Sam didn’t give ELLEN grapes.,"if Ellen only got oranges, it follows naturally that she didn’t get any grapes.",0.0,0.03571428571428571,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
7,0,Sam only gave Mary BANANAS.,Sam didn't give Ellen bananas.,B,0,A,0,Sam only gave MARY bananas.,Sam didn’t give ELLEN bananas.,"if Sam only gave Mary bananas, it implies that no one else, including Ellen, got bananas.",0.0,0.034482758620689655,2,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
8,0,Sam only gave BILL bananas.,Sam didn't give Tom bananas.,A,1,A,1,Sam only gave BILL bananas.,Sam didn’t give TOM bananas.,"if Bill is the only one who got bananas, then Tom must not have received any.",0.0,0.037037037037037035,1,NEG,1,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
9,0,Sam only gave Sue ORANGES.,Sam didn't give Sue grapes.,A,1,A,0,Sam only gave SUE oranges.,Sam didn’t give SUE grapes.,"if Sue only got oranges, then naturally she didn’t get grapes.",0.0,0.038461538461538464,2,NEG,2,f4,audio,openai,gpt-4o-audio-preview,20251217_135107,chatcmpl-CnmEi8JZ33oGC0JqMY4SngaogRW0j
