example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,1,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,"S1 restricts the items Tom received to apples, which contradicts S2's claim that Tom also received grapes.",0.0,0.0,2,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,1,B,1,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,"S1 restricts the items Mary received to bananas, but provides no information about what Bill received.",0.0,0.0,2,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,1,B,1,Sam only gave MARY apples.,Sam also gave Mary bananas.,"S1 restricts the recipients of apples to Mary, but does not restrict what other items Mary might have received.",0.0,0.0,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Rob apples.,"S1 restricts the recipients of apples to Sue, which entails that Rob did not receive apples.",0.0,0.0,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,1,B,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"S1 restricts the recipients of bananas to Bill, but does not restrict what other items Bill might have received.",0.0,0.0,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,"S1 restricts the items Rob received to grapes, which entails that Rob did not receive apples.",0.0,0.0,2,NEG,2,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
6,0,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,"S1 restricts the recipients of grapes to Sue, which contradicts S2's claim that Tom also received grapes.",0.0,0.0,1,POS,1,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
7,0,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,"S1 restricts the recipients of grapes to Ellen, which entails that Rob did not receive grapes.",0.0,0.0,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,0,Sam only gave Mary GRAPES.,Sam also gave Mary bananas.,"S1 restricts the items Mary received to grapes, which contradicts S2's claim that Mary also received bananas.",0.0,0.0,1,POS,2,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Bill apples.,"S1 restricts the recipients of apples to Sue, which entails that Bill did not receive apples.",0.0,0.0,1,NEG,1,f10,audio,gemini,gemini-3.1-pro-preview,20260223_171601,,
