example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave Tom APPLES.,Sam also gave Tom grapes.,C,1,C,0,Sam only gave TOM apples.,Sam also gave Tom grapes.,"if Sam only gave Tom apples, then Sam did not give Tom any other fruit. The second statement contradicts this by saying Sam also gave Tom grapes.",0.0,0.0,2,POS,2,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
1,0,Sam only gave Mary BANANAS.,Sam didn't give Bill bananas.,B,0,A,0,Sam only gave MARY bananas.,Sam didn't give Bill bananas.,"if Sam only gave Mary bananas, it implies that no one else received bananas, which aligns with the second statement that says Sam didn't give Bill bananas.",0.0,0.0,2,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
2,0,Sam only gave MARY apples.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY apples.,Sam also gave Mary bananas.,"if Sam only gave Mary apples, then Mary didn’t get any other fruit. The second statement contradicts this by saying Mary also got bananas.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
3,0,Sam only gave SUE apples.,Sam didn't give Rob apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Rob apples.,"if Sam only gave Sue apples, then no one else, including Rob, got apples. The second statement confirms this by saying Rob didn’t get any apples.",0.0,0.0,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
4,0,Sam only gave BILL bananas.,Sam also gave Bill grapes.,B,0,C,1,Sam only gave BILL bananas.,Sam also gave Bill grapes.,"if Sam only gave Bill bananas, then Bill didn’t receive any other fruit. The second statement contradicts this by saying Bill also received grapes.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
5,0,Sam only gave Rob GRAPES.,Sam didn't give Rob apples.,A,1,A,0,Sam only gave ROB grapes.,Sam didn't give Rob apples.,"if Sam only gave Rob grapes, then by definition, Rob didn’t get any other fruit, including apples. The second statement aligns with that.",0.0,0.0,2,NEG,2,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
6,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,C,1,C,1,Sam only gave SUE grapes.,Sam also gave Tom grapes.,"if Sam only gave Sue grapes, then Sam didn’t give grapes to anyone else. The second statement contradicts this by saying Sam also gave grapes to Tom.",0.0,0.0,1,POS,1,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
7,1,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,A,1,A,1,Sam only gave ELLEN grapes.,Sam didn't give Rob grapes.,"if Sam only gave Ellen grapes, then no one else received grapes, including Rob. The second statement is consistent with that.",0.0,0.0,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
8,0,Sam only gave MARY grapes.,Sam also gave Mary bananas.,B,0,C,1,Sam only gave MARY grapes.,Sam also gave Mary bananas.,"if Sam only gave Mary grapes, then Mary didn’t receive any other fruit. The second statement contradicts this by saying Mary also received bananas.",0.0,0.0,1,POS,2,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
9,0,Sam only gave SUE apples.,Sam didn't give Bill apples.,A,1,A,1,Sam only gave SUE apples.,Sam didn't give Bill apples.,"if Sam only gave apples to Sue, then no one else, including Bill, received apples. The second statement is consistent with that.",0.0,0.0,1,NEG,1,f10,audio,openai,gpt-4o-audio-preview,20260105_085542,chatcmpl-CuaqkyfEEc1q7oSclwJJZSfAGmszg,3
