example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave Ellen BANANAS.,Sam also gave Rob bananas.,B,0,C,0,Sam ONLY gave Ellen bananas.,Sam also gave Rob bananas.,"S1 states that Sam *only* gave Ellen bananas, meaning he did not give bananas to anyone else. S2 contradicts this by stating that Sam also gave Rob bananas.",0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
1,0,Sam only gave ROB grapes.,Sam also gave Rob oranges.,B,0,C,0,Sam ONLY gave Rob grapes.,Sam also gave Rob oranges.,"S1 states that Sam *only* gave Rob grapes, meaning he did not give oranges to Rob. S2 contradicts this by stating that Sam also gave Rob oranges.",0.0,0.0,1,POS,2,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
2,0,Sam only gave TOM apples.,Sam also gave Bill apples.,C,1,C,0,Sam ONLY gave Tom apples.,Sam also gave Bill apples.,"S1 states that Sam *only* gave Tom apples, meaning he did not give apples to anyone else. S2 contradicts this by stating that Sam also gave Bill apples.",0.0,0.0,1,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
3,0,Sam only gave Mary APPLES.,Sam also gave Mary bananas.,C,1,C,0,Sam ONLY gave Mary apples.,Sam also gave Mary bananas.,"S1 states that Sam *only* gave Mary apples, meaning he did not give bananas to Mary. S2 contradicts this by stating that Sam also gave Mary bananas.",0.0,0.0,2,POS,2,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
4,0,Sam only gave Ellen ORANGES.,Sam also gave Sue oranges.,B,0,C,0,Sam ONLY gave Ellen oranges.,Sam also gave Sue oranges.,"S1 states that Sam *only* gave Ellen oranges, meaning he did not give oranges to anyone else. S2 contradicts this by stating that Sam also gave Sue oranges.",0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
5,0,Sam only gave Rob ORANGES.,Sam didn't give Rob apples.,A,0,B,0,Sam ONLY gave Rob oranges.,Sam didn't give Rob apples.,S1 is about oranges and S2 is about apples. They are independent.,0.0,0.0,2,NEG,2,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
6,0,Sam only gave Bill BANANAS.,Sam didn't give Ellen bananas.,B,0,A,0,Sam ONLY gave Bill bananas.,Sam didn't give Ellen bananas.,"S1 states that Sam *only* gave Bill bananas, meaning he did not give bananas to Ellen. S2 confirms this by stating that Sam didn't give Ellen bananas.",0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
7,0,Sam only gave Rob BANANAS.,Sam also gave Sue bananas.,B,0,C,0,Sam ONLY gave Rob bananas.,Sam also gave Sue bananas.,"S1 states that Sam *only* gave Rob bananas, meaning he did not give bananas to anyone else. S2 contradicts this by stating that Sam also gave Sue bananas.",0.0,0.0,2,POS,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
8,0,Sam only gave Bill BANANAS.,Sam didn't give Mary bananas.,B,0,A,0,Sam ONLY gave Bill bananas.,Sam didn't give Mary bananas.,"S1 states that Sam *only* gave Bill bananas, meaning he did not give bananas to Mary. S2 confirms this by stating that Sam didn't give Mary bananas.",0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
9,0,Sam only gave Ellen GRAPES.,Sam didn't give Rob grapes.,B,0,A,0,Sam ONLY gave Ellen grapes.,Sam didn't give Rob grapes.,"S1 states that Sam *only* gave Ellen grapes, meaning he did not give grapes to Rob. S2 confirms this by stating that Sam didn't give Rob grapes.",0.0,0.0,2,NEG,1,f8,audio,gemini,gemini-2.0-flash,20251217_141810,
