example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id,cv_fold
0,0,Sam only gave ELLEN bananas.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave Ellen BANANAS.,Sam also gave Ellen grapes.,"if Sam only gave Ellen bananas, he could not have also given her grapes.",0.0,0.0,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
1,0,Sam only gave MARY apples.,Sam didn't give Mary oranges.,B,0,A,0,Sam only gave Mary APPLES.,Sam didn't give Mary oranges.,"if Sam only gave Mary apples, it entails that he didn't give her oranges.",0.0,0.0,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
2,0,Sam only gave TOM bananas.,Sam also gave Tom apples.,B,0,C,0,Sam only gave Tom BANANAS.,Sam also gave Tom apples.,"if Sam only gave Tom bananas, he could not have also given him apples.",0.0,0.0,1,POS,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
3,0,Sam only gave MARY apples.,Sam didn't give Mary grapes.,B,0,A,0,Sam only gave Mary APPLES.,Sam didn't give Mary grapes.,"if Sam only gave Mary apples, it entails that he didn't give her grapes.",0.0,0.0,1,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
4,0,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,A,1,A,1,Sam only gave Mary ORANGES.,Sam didn't give Mary apples.,"if Sam only gave Mary oranges, it entails that he didn't give her apples.",0.0,0.0,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
5,0,Sam only gave Rob APPLES.,Sam also gave Mary apples.,B,0,C,0,Sam only gave ROB apples.,Sam also gave Mary apples.,"if Sam only gave Rob apples, he could not have also given apples to Mary.",0.0,0.0,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
6,0,Sam only gave ROB apples.,Sam also gave Tom apples.,C,1,C,1,Sam only gave ROB apples.,Sam also gave Tom apples.,"if Sam only gave Rob apples, he could not have also given apples to Tom.",0.0,0.0,1,POS,1,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
7,0,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,A,1,A,1,Sam only gave Rob ORANGES.,Sam didn't give Rob bananas.,"if Sam only gave Rob oranges, it entails that he didn't give him bananas.",0.0,0.0,2,NEG,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
8,0,Sam only gave Bill GRAPES.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave BILL grapes.,Sam also gave Rob grapes.,"if Sam only gave Bill grapes, he could not have also given grapes to Rob.",0.0,0.0,2,POS,1,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
9,0,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,C,1,C,1,Sam only gave Rob GRAPES.,Sam also gave Rob bananas.,"if Sam only gave Rob grapes, he could not have also given him bananas.",0.0,0.0,2,POS,2,f9,audio,gemini,gemini-2.5-flash,20260223_174122,,
