example_index,is_few_shot,true_S1,true_S2,true_A,inf_correct,model_A,trans_correct,model_S1,model_S2,model_explanation,s1_edit_norm,s2_edit_norm,focus,logic,alternative,file_id,mode,backend,model_name,run_timestamp_utc,response_id
0,0,Sam only gave ELLEN grapes.,Sam didn't give Tom grapes.,A,1,A,0,Sam only gave Ellen grapes.,Sam didn't give Tom grapes.,"""only gave Ellen grapes"" means Sam gave grapes to Ellen and to no one else, so Tom did not get grapes.",0.0,0.0,1,NEG,1,f3,baseline,openai,gpt-5,20251218_171537,
1,0,Sam only gave Ellen APPLES.,Sam didn't give Ellen oranges.,A,1,A,0,Sam only gave Ellen apples.,Sam didn't give Ellen oranges.,"""only gave Ellen apples"" means Ellen received only apples and no other items, so she didn't get oranges.",0.0,0.0,2,NEG,2,f3,baseline,openai,gpt-5,20251218_171537,
2,0,Sam only gave Rob GRAPES.,Sam also gave Ellen grapes.,B,0,C,0,Sam only gave Rob grapes.,Sam also gave Ellen grapes.,"""only gave Rob grapes"" forbids giving grapes to anyone besides Rob, yet S2 says Ellen got grapes.",0.0,0.0,2,POS,1,f3,baseline,openai,gpt-5,20251218_171537,
3,0,Sam only gave Rob APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave Rob apples.,Sam also gave Ellen apples.,"""only gave Rob apples"" forbids giving apples to anyone other than Rob, yet S2 says Ellen got apples.",0.0,0.0,2,POS,1,f3,baseline,openai,gpt-5,20251218_171537,
4,0,Sam only gave Ellen APPLES.,Sam didn't give Bill apples.,B,0,A,0,Sam only gave Ellen apples.,Sam didn't give Bill apples.,"if only Ellen got apples, then Bill did not get apples.",0.0,0.0,2,NEG,1,f3,baseline,openai,gpt-5,20251218_171537,
5,0,Sam only gave Rob APPLES.,Sam didn't give Sue apples.,B,0,A,0,Sam only gave Rob apples.,Sam didn't give Sue apples.,"if only Rob got apples, then Sue did not get apples.",0.0,0.0,2,NEG,1,f3,baseline,openai,gpt-5,20251218_171537,
6,0,Sam only gave ROB oranges.,Sam also gave Rob apples.,B,0,C,0,Sam only gave Rob oranges.,Sam also gave Rob apples.,"""only gave Rob oranges"" means Rob received no items other than oranges, yet S2 says he also got apples.",0.0,0.0,1,POS,2,f3,baseline,openai,gpt-5,20251218_171537,
7,0,Sam only gave ROB apples.,Sam also gave Rob grapes.,B,0,C,0,Sam only gave Rob apples.,Sam also gave Rob grapes.,"""only gave Rob apples"" means Rob received no items other than apples, yet S2 says he also got grapes.",0.0,0.0,1,POS,2,f3,baseline,openai,gpt-5,20251218_171537,
8,0,Sam only gave ROB bananas.,Sam didn't give Ellen bananas.,A,1,A,0,Sam only gave Rob bananas.,Sam didn't give Ellen bananas.,"if only Rob got bananas, Ellen did not get bananas.",0.0,0.0,1,NEG,1,f3,baseline,openai,gpt-5,20251218_171537,
9,0,Sam only gave Mary APPLES.,Sam also gave Ellen apples.,B,0,C,0,Sam only gave Mary apples.,Sam also gave Ellen apples.,"""only gave Mary apples"" prohibits giving apples to anyone else, yet S2 says Ellen also got apples.",0.0,0.0,2,POS,1,f3,baseline,openai,gpt-5,20251218_171537,
